row_label_raw,row_label_full,Số đầu năm,VNDGiá trị > 419.909.252.561,numeric__VNDGiá trị > 419.909.252.561
Thu từ đi vay,Thu từ đi vay,Thu từ đi vay,614.867.162.867,614867162867.0
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(483.242.321.902),-483242321902.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,1.156.400.000,1156400000.0
Số cuối năm,Số cuối năm,Số cuối năm,552.690.493.526,552690493526.0
