row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,1.064.434.641.861,965.994.484.627,1064434641861.0,965994484627.0
"Doanh thu từ bán nguyên liệu, thành phẩm và hàng hóa","Doanh thu từ bán nguyên liệu, thành phẩm và hàng hóa","Doanh thu từ bán nguyên liệu, thành phẩm và hàng hóa",678.929.229.130,569.567.991.780,678929229130.0,569567991780.0
"Doanh thu từ hợp đồng thi công, lắp đặt","Doanh thu từ hợp đồng thi công, lắp đặt","Doanh thu từ hợp đồng thi công, lắp đặt",373.341.018.060,383.234.156.366,373341018060.0,383234156366.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,12.164.394.671,13.192.336.481,12164394671.0,13192336481.0
Trừ,Trừ,Trừ,-,(1.007.782.065),,-1007782065.0
Hàng bán bị trả lại,Hàng bán bị trả lại,Hàng bán bị trả lại,-,(1.007.782.065),,-1007782065.0
DOANH THU THUẦN,DOANH THU THUẦN,DOANH THU THUẦN,1.064.434.641.861,964.986.702.562,1064434641861.0,964986702562.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ bán nguyên liệu. thành phẩm và hàng hóa,Trong đó: > Doanh thu từ bán nguyên liệu. thành phẩm và hàng hóa,Doanh thu từ bán nguyên liệu. thành phẩm và hàng hóa,678.929.229.130,568.560.209.715,678929229130.0,568560209715.0
"Doanh thu từ hợp đồng thi công, lắp đặt","Trong đó: > Doanh thu từ hợp đồng thi công, lắp đặt","Doanh thu từ hợp đồng thi công, lắp đặt",373.341.018.060,383.234.156.366,373341018060.0,383234156366.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,12.164.394.671,13.192.336.481,12164394671.0,13192336481.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,885.789.837.298,861.566.960.915,885789837298.0,861566960915.0
Doanh thu đối với bên liên quan (Thuyết minh số 30),Trong đó: > Doanh thu đối với bên liên quan (Thuyết minh số 30),Doanh thu đối với bên liên quan (Thuyết minh số 30),178.644.804.563,103.419.741.647,178644804563.0,103419741647.0
