row_label_raw,row_label_full,col_0,31/12/2023 > Giá trị VND,31/12/2023 > Tỷ lệ sở hữu %,01/01/2023 > Giá trị VND,01/01/2023 > Tỷ lệ sở hữu %,numeric__31/12/2023 > Giá trị VND,numeric__31/12/2023 > Tỷ lệ sở hữu %,numeric__01/01/2023 > Giá trị VND,numeric__01/01/2023 > Tỷ lệ sở hữu %
Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,1.436.640.000.000,"31,97%",1.436.640.000.000,"31,97%",1436640000000.0,0.3197,1436640000000.0,0.3197
Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,570.843.000.000,"12,70%",570.843.000.000,"12,70%",570843000000.0,0.127,570843000000.0,0.127
Ông Phan Tuấn Nghĩa,Ông Phan Tuấn Nghĩa,Ông Phan Tuấn Nghĩa,6.511.000.000,"0,14%",258.493.470.000,"5,75%",6511000000.0,0.0014000000000000002,258493470000.0,0.0575
Cổ đông khác,Cổ đông khác,Cổ đông khác,2.480.358.050.000,"55,19%",2.228.375.580.000,"49,58%",2480358050000.0,0.5519,2228375580000.0,0.49579999999999996
Cộng,Cộng,Cộng,4.494.352.050.000,100%,4.494.352.050.000,100%,4494352050000.0,1.0,4494352050000.0,1.0
