row_label_raw,row_label_full,col_0,Phần mềmkế toán,Cộng,numeric__Phần mềmkế toán,numeric__Cộng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2023,NGUYÊN GIÁ > Tại ngày 01/01/2023,Tại ngày 01/01/2023,301.765.500,301.765.500,301765500.0,301765500.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,273.600.000,273.600.000,273600000.0,273600000.0
Tại ngày 31/12/2023,NGUYÊN GIÁ > Tại ngày 31/12/2023,Tại ngày 31/12/2023,575.365.500,575.365.500,575365500.0,575365500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2023,Tại ngày 01/01/2023,301.765.500,301.765.500,301765500.0,301765500.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,72.084.848,72.084.848,72084848.0,72084848.0
Tại ngày 31/12/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2023,Tại ngày 31/12/2023,373.850.348,373.850.348,373850348.0,373850348.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2023,Tại ngày 01/01/2023,Tại ngày 01/01/2023,-,-,,
Tại ngày 31/12/2023,Tại ngày 01/01/2023 > Tại ngày 31/12/2023,Tại ngày 31/12/2023,201.515.152,201.515.152,201515152.0,201515152.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,Tại ngày 01/01/2023 > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,301.765.500,301.765.500,301765500.0,301765500.0
