row_label_raw,row_label_full,col_0,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
,,,VND,VND,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,40.388.406.353,98.354.738.304,40388406353.0,98354738304.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,40.324.240,43.276.200,40324240.0,43276200.0
Các khoản bảo hiểm bắt buộc,Các khoản bảo hiểm bắt buộc,Các khoản bảo hiểm bắt buộc,-,93.158.500,,93158500.0
Thu hộ tiền đặt cọc từ người mua bắt động sản,Thu hộ tiền đặt cọc từ người mua bắt động sản,Thu hộ tiền đặt cọc từ người mua bắt động sản,5.665.082.408,9.105.071.408,5665082408.0,9105071408.0
Công ty Cổ phần Bất động sản Khải Minh Land (1),Công ty Cổ phần Bất động sản Khải Minh Land (1),Công ty Cổ phần Bất động sản Khải Minh Land (1),23.800.354.559,48.017.354.559,23800354559.0,48017354559.0
Khách hàng thanh toán theo tiến độ (2),Khách hàng thanh toán theo tiến độ (2),Khách hàng thanh toán theo tiến độ (2),5.544.619.367,33.236.621.786,5544619367.0,33236621786.0
"Nhận ký cược, ký quỹ","Nhận ký cược, ký quỹ","Nhận ký cược, ký quỹ",2.950.000.000,5.200.000.000,2950000000.0,5200000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,2.388.025.779,2.659.255.851,2388025779.0,2659255851.0
Dài hạn,Dài hạn,Dài hạn,600.000.000,858.000.000,600000000.0,858000000.0
"Nhận ký cược, ký quỹ dài hạn","Nhận ký cược, ký quỹ dài hạn","Nhận ký cược, ký quỹ dài hạn",600.000.000,858.000.000,600000000.0,858000000.0
Cộng,Cộng,Cộng,40.988.406.353,99.212.738.304,40988406353.0,99212738304.0
