row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2021 Triệu VND,2020 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2021 Triệu VND,numeric__2020 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,28,2.274.053,3.811.236,1.0,28.0,2274053.0,3811236.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,28,-,-,2.0,28.0,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,28,2.274.053,3.811.236,10.0,28.0,2274053.0,3811236.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,29,1.400.808,2.246.996,11.0,29.0,1400808.0,2246996.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,873.245,1.564.240,20.0,,873245.0,1564240.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,30,400.774,382.561,21.0,30.0,400774.0,382561.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,31,454.269,428.253,22.0,31.0,454269.0,428253.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,454.165,428.196,23.0,,454165.0,428196.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,32,118.498,162.351,25.0,32.0,118498.0,162351.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,33,130.150,128.919,26.0,33.0,130150.0,128919.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,571.102,1.227.278,30.0,,571102.0,1227278.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,11.504,34.800,31.0,,11504.0,34800.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,2.760,3.608,32.0,,2760.0,3608.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,8.744,31.192,40.0,,8744.0,31192.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,579.846,1.258.470,50.0,,579846.0,1258470.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,35,122.454,255.537,51.0,35.0,122454.0,255537.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,35,-,(2.172),52.0,35.0,,-2172.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,457.392,1.005.105,60.0,,457392.0,1005105.0
