row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2021 Triệu VND,1/1/2021 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__1/1/2021 Triệu VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 250 + 260),200,,25.726.380,27.888.325,200.0,,25726380.0,27888325.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,561,1.091.938,210.0,,561.0,1091938.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,7(b),-,1.090.000,215.0,,,1090000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,561,1.938,216.0,,561.0,1938.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,20.399,27.243,220.0,,20399.0,27243.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,9.220,8.659,221.0,12.0,9220.0,8659.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,17.454,14.087,222.0,,17454.0,14087.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(8.234),(5.428),223.0,,-8234.0,-5428.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,11.179,18.584,227.0,13.0,11179.0,18584.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,48.958,48.906,228.0,,48958.0,48906.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(37.779),(30.322),229.0,,-37779.0,-30322.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,14,4.628.689,4.544.245,230.0,14.0,4628689.0,4544245.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,5.468.702,5.171.305,231.0,,5468702.0,5171305.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(840.013),(627.060),232.0,,-840013.0,-627060.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,667.777,647.219,240.0,,667777.0,647219.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,15,667.777,647.219,242.0,15.0,667777.0,647219.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,17.949.154,18.716.905,250.0,,17949154.0,18716905.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,5(b),12.730.965,12.730.965,251.0,,12730965.0,12730965.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,253,5(c),5.218.189,5.985.940,253.0,,5218189.0,5985940.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,2.459.800,2.860.775,260.0,,2459800.0,2860775.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,16(b),53.208,68.901,261.0,,53208.0,68901.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,2.172,2.172,262.0,,2172.0,2172.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,11,2.404.420,2.789.702,268.0,11.0,2404420.0,2789702.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,30.172.496,33.025.952,270.0,,30172496.0,33025952.0
