row_label_raw,row_label_full,Tên công ty,Trụ sở,Hoạt động chính,numeric__Trụ sở,numeric__Hoạt động chính
Công ty TNHHVận hànhVincom Retail,Công ty TNHHVận hànhVincom Retail,Công ty TNHHVận hànhVincom Retail,"Tòa nhà văn phòng Symphony, ĐườngChu Huy Mân,Khu đô thị sinh thái Vinhomes Riverside,Phường Phúc Lợi, Quận Long Biên,Thành phố Hà Nội, Việt Nam.","Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, và kinh doanh bất động sản và dịch vụ vui chơi giải trí.",,
Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,"Km 1+200, Đường Trần Hưng Đạo,Phường Suối Hoa,Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam.","Cho thuê trung tâm thương mại, văn phòng, cung cấp các dịch vụ liên quan, và kinh doanh bất động sản và dịch vụ vui chơi giải trí.",,
