row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,226,10.305,3.556,14.087,226.0,10305.0,3556.0,14087.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.866,160,4.026,,3866.0,160.0,4026.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(613),(46),(659),,-613.0,-46.0,-659.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,226,13.558,3.670,17.454,226.0,13558.0,3670.0,17454.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,225,4.315,888,5.428,225.0,4315.0,888.0,5428.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1,2.534,641,3.176,1.0,2534.0,641.0,3176.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(324),(46),(370),,-324.0,-46.0,-370.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,226,6.525,1.483,8.234,226.0,6525.0,1483.0,8234.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1,5.990,2.668,8.659,1.0,5990.0,2668.0,8659.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,7.033,2.187,9.220,,7033.0,2187.0,9220.0
