row_label_raw,row_label_full,4.1 Cho vay khách hàng,4.1 Cho vay khách hàng_1,4.1 Cho vay khách hàng_2,numeric__4.1 Cho vay khách hàng_1,numeric__4.1 Cho vay khách hàng_2
,,,31/12/2021,01/01/2021,,
"Cho vay các tổ chức kinh tế, cả nhân trong nước","Cho vay các tổ chức kinh tế, cả nhân trong nước","Cho vay các tổ chức kinh tế, cả nhân trong nước",41.598.814,40.277.119,41598814.0,40277119.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",16.205,36.153,16205.0,36153.0
Tổng cộng,Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay,4.1a Phân tích chất lượng nợ cho vay,,
,,,31/12/2021,01/01/2021,,
Nợ đủ tiêu chuẩn,4.1a Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,37.210.764,39.121.555,37210764.0,39121555.0
Nợ cần chủ ý,4.1a Phân tích chất lượng nợ cho vay > Nợ cần chủ ý,Nợ cần chủ ý,3.154.827,582.885,3154827.0,582885.0
Nợ dưới tiêu chuẩn,4.1a Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,603.033,55.841,603033.0,55841.0
Nợ nghi ngờ,4.1a Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,181.534,87.573,181534.0,87573.0
Nợ có khả năng mất vốn,4.1a Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,464.861,465.418,464861.0,465418.0
Tổng cộng,4.1a Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
4.1b Phân tích dư nợ theo thời gian,4.1b Phân tích dư nợ theo thời gian,4.1b Phân tích dư nợ theo thời gian,4.1b Phân tích dư nợ theo thời gian,4.1b Phân tích dư nợ theo thời gian,,
,,,31/12/2021,01/01/2021,,
Nợ ngắn hạn,4.1b Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,11.372.276,11.294.357,11372276.0,11294357.0
Nợ trung hạn,4.1b Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,15.507.953,14.096.459,15507953.0,14096459.0
Nợ dài hạn,4.1b Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,14.734.790,14.922.456,14734790.0,14922456.0
Tổng cộng,4.1b Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
4.1c Phân tích dư nợ cho vay theo ngành,4.1c Phân tích dư nợ cho vay theo ngành,4.1c Phân tích dư nợ cho vay theo ngành,4.1c Phân tích dư nợ cho vay theo ngành,4.1c Phân tích dư nợ cho vay theo ngành,,
,,,31/12/2021,01/01/2021,,
Nông nghiệp và lâm nghiệp,4.1c Phân tích dư nợ cho vay theo ngành > Nông nghiệp và lâm nghiệp,Nông nghiệp và lâm nghiệp,38.256,38.256,38256.0,38256.0
"Công nghiệp chế biến, chế tạo","4.1c Phân tích dư nợ cho vay theo ngành > Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",695.851,743.667,695851.0,743667.0
Xây dựng,4.1c Phân tích dư nợ cho vay theo ngành > Xây dựng,Xây dựng,13.241.001,10.413.057,13241001.0,10413057.0
"Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy vàđộng cơ khác","4.1c Phân tích dư nợ cho vay theo ngành > Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy vàđộng cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy vàđộng cơ khác",768.102,779.146,768102.0,779146.0
Dịch vụ lưu trú và ăn uống,4.1c Phân tích dư nợ cho vay theo ngành > Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,435.964,482.995,435964.0,482995.0
Vận tải kho bãi,4.1c Phân tích dư nợ cho vay theo ngành > Vận tải kho bãi,Vận tải kho bãi,1.989.976,2.734.682,1989976.0,2734682.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","4.1c Phân tích dư nợ cho vay theo ngành > Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",7.910.318,8.479.827,7910318.0,8479827.0
Giáo dục và đào tạo,4.1c Phân tích dư nợ cho vay theo ngành > Giáo dục và đào tạo,Giáo dục và đào tạo,-,65,,65.0
Y tế và hoạt động trợ giúp xã hội,4.1c Phân tích dư nợ cho vay theo ngành > Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,30.442,35.107,30442.0,35107.0
Hoạt động dịch vụ khác,4.1c Phân tích dư nợ cho vay theo ngành > Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,7.793.451,7.362.168,7793451.0,7362168.0
Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,4.1c Phân tích dư nợ cho vay theo ngành > Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,8.711.658,9.244.302,8711658.0,9244302.0
Tổng cộng,4.1c Phân tích dư nợ cho vay theo ngành > Tổng cộng,Tổng cộng,41.615.019,40.313.272,41615019.0,40313272.0
