row_label_raw,row_label_full,Công ty phát hành > Công ty TNHH MTV Mua bán nợ Việt Nam ( tên cũ Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp) - DATC > Cty TNHH 1 thành viên quản lý tái sản của các TCTD Việt Nam,Ngày đáo hạn > Năm 2023 > Năm 2024 > Năm 2025 > Năm 2026 > Năm 2027 > Năm 2028 > Năm 2029 > Năm 2025 > Năm 2026,Lãi suất > 8.9%/năm > 0%/năm,Số lượng trái phiếu > 31.554 > 15 mã > 9 mã > 86 mã > 27 mã > 6 mã > 8 mã > 19 mã > 5 mã > 28 mã > 6 mã,Giá trị đầu tư > 31.554 > 473.345 > 18.226 > 2.685.210 > 835.870 > 109.836 > 569.382 > 462.606 > 233.160 > 81.285 > 198.988,numeric__Ngày đáo hạn > Năm 2023 > Năm 2024 > Năm 2025 > Năm 2026 > Năm 2027 > Năm 2028 > Năm 2029 > Năm 2025 > Năm 2026,numeric__Lãi suất > 8.9%/năm > 0%/năm,numeric__Số lượng trái phiếu > 31.554 > 15 mã > 9 mã > 86 mã > 27 mã > 6 mã > 8 mã > 19 mã > 5 mã > 28 mã > 6 mã,numeric__Giá trị đầu tư > 31.554 > 473.345 > 18.226 > 2.685.210 > 835.870 > 109.836 > 569.382 > 462.606 > 233.160 > 81.285 > 198.988
Tổng cộng,Tổng cộng,Tổng cộng,,,,5.699.462,,,,5699462.0
"6. Gộp vốn, đầu tư dài hạn","6. Gộp vốn, đầu tư dài hạn","6. Gộp vốn, đầu tư dài hạn",,,31/12/2021,01/01/2021,,,,
- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,,,,,,,,
Các khoản đầu tư dài hạn khác,- Phân tích giá trị đầu tư theo loại hình đầu tư > Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,,,719.600,719.600,,,719600.0,719600.0
Dự phòng giảm giá đầu tư dài hạn,- Phân tích giá trị đầu tư theo loại hình đầu tư > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,,(64.918),(64.918),,,-64918.0,-64918.0
Tổng cộng,- Phân tích giá trị đầu tư theo loại hình đầu tư > Tổng cộng,Tổng cộng,,,654.682,654.682,,,654682.0,654682.0
