row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đấtcó thời hạn,Phần mềm máy vitính,TSCĐ vô hìnhkhác,Tổng cộng,numeric__Quyền sử dụng đấtcó thời hạn,numeric__Phần mềm máy vitính,numeric__TSCĐ vô hìnhkhác,numeric__Tổng cộng
Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,Nguyễn giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyễn giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,381.138,59.404,54.682,495.224,381138.0,59404.0,54682.0,495224.0
- Tăng trong năm,Nguyễn giá TSCĐ vô hình > - Tăng trong năm,- Tăng trong năm,-,10.251,-,10.251,,10251.0,,10251.0
"- Thanh lý, nhượng bán","Nguyễn giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.220),(100),-,(1.320),-1220.0,-100.0,,-1320.0
Số dư cuối năm,Nguyễn giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,379.918,69.555,54.682,504.155,379918.0,69555.0,54682.0,504155.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,231,33.115,23.878,57.224,231.0,33115.0,23878.0,57224.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,11,6.832,7.799,14.642,11.0,6832.0,7799.0,14642.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(242),(80),-,(322),-242.0,-80.0,,-322.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,-,(15),15,-,,-15.0,15.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,39.852,31.692,71.544,,39852.0,31692.0,71544.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,380.907,26.289,30.804,438.000,380907.0,26289.0,30804.0,438000.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,379.918,29.703,22.990,432.611,379918.0,29703.0,22990.0,432611.0
