row_label_raw,row_label_full,10. Tiền gửi và vay các TCTD khác,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
10.1. Tiền gửi của các TCTD khác,10.1. Tiền gửi của các TCTD khác,10.1. Tiền gửi của các TCTD khác,10.1. Tiền gửi của các TCTD khác,10.1. Tiền gửi của các TCTD khác,,
a. Tiền gửi không kỳ hạn,10.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,13.545,827.466,13545.0,827466.0
- Bằng VND,10.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,13.479,827.394,13479.0,827394.0
- Bằng ngoại hối,10.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,66,72,66.0,72.0
b. Tiền gửi có kỳ hạn,10.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,459.130,8.199.707,459130.0,8199707.0
- Bằng VND,10.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,231.430,4.204.272,231430.0,4204272.0
- Bằng ngoại hối,10.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,227.700,3.995.435,227700.0,3995435.0
Cộng,10.1. Tiền gửi của các TCTD khác > Cộng,Cộng,472.675,9.027.173,472675.0,9027173.0
10.2. Vay các TCTD khác,10.2. Vay các TCTD khác,10.2. Vay các TCTD khác,10.2. Vay các TCTD khác,10.2. Vay các TCTD khác,,
- Bằng VND,10.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,136.620,-,136620.0,
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,-,-,,
Cộng,- Bằng ngoại hối > Cộng,Cộng,136.620,-,136620.0,
Tổng cộng tiền gửi của và vay TCTD khác,- Bằng ngoại hối > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,609.295,9.027.173,609295.0,9027173.0
