row_label_raw,row_label_full,Chỉ tiêu,Quả hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quả hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,297.561,-,-,-,-,-,-,297.561,,297561.0,,,,,,,297561.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,1.550.785,-,-,-,-,-,1.550.785,,,1550785.0,,,,,,1550785.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,12.114.277,-,-,-,-,-,12.114.277,,,12114277.0,,,,,,12114277.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,23.608,2.396,-,12.569,-,-,38.573,,,23608.0,2396.0,,12569.0,,,38573.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),997.499,-,7.856.485,27.860.073,1.474.552,1.658.986,411.835,53.842,40.313.272,997499.0,,7856485.0,27860073.0,1474552.0,1658986.0,411835.0,53842.0,40313272.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,-,-,-,-,-,-,-,,,,,,,,,
Chứng khoán đầu tư (*),Hoạt động mua nợ > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,88.115,3.692.071,250.000,679.000,1.355.524,3.382.002,4.076.326,13.523.038,,88115.0,3692071.0,250000.0,679000.0,1355524.0,3382002.0,4076326.0,13523038.0
"Góp vốn, đầu tư dài hạn (*)","Hoạt động mua nợ > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,719.600,719.600,,,,,,,,719600.0,719600.0
Tải sản cố định và Bất động sản đầu tư,Hoạt động mua nợ > Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,-,563.519,563.519,,,,,,,,563519.0,563519.0
Tải sản Có khác (*),Hoạt động mua nợ > Tải sản Có khác (*),Tải sản Có khác (*),-,20.797.854,141.755,205.523,192.341,50.019,30.139,13.725,21.431.356,,20797854.0,141755.0,205523.0,192341.0,50019.0,30139.0,13725.0,21431356.0
Tổng Tài sản,Hoạt động mua nợ > Tổng Tài sản,Tổng Tài sản,997.499,21.183.530,25.378.981,28.317.992,2.345.893,3.077.098,3.823.976,5.427.012,90.551.981,997499.0,21183530.0,25378981.0,28317992.0,2345893.0,3077098.0,3823976.0,5427012.0,90551981.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,9.027.173,-,-,-,-,-,9.027.173,,,9027173.0,,,,,,9027173.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,16.487.683,16.073.653,24.318.015,10.943.758,4.261.574,69,72.084.752,,,16487683.0,16073653.0,24318015.0,10943758.0,4261574.0,69.0,72084752.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,-,71.066,71.066,,,,,,,,71066.0,71066.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,15.360,64.372,28.554,12.500,6.909,1.999.525,2.127.220,,,15360.0,64372.0,28554.0,12500.0,6909.0,1999525.0,2127220.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,251.114,296.182,522.184,626.469,256.485,75.717,58,2.028.209,,251114.0,296182.0,522184.0,626469.0,256485.0,75717.0,58.0,2028209.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,251.114,25.826.398,16.660.209,24.973.038,11.212.743,4.344.200,2.070.718,85.338.420,,251114.0,25826398.0,16660209.0,24973038.0,11212743.0,4344200.0,2070718.0,85338420.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,997.499,20.932.415,(447.417),11.657.783,(22.627.145),(8.135.645),(520.224),3.356.294,5.213.561,997499.0,20932415.0,-447417.0,11657783.0,-22627145.0,-8135645.0,-520224.0,3356294.0,5213561.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,2.247.633,293,-,-,-,-,-,2.247.926,,2247633.0,293.0,,,,,,2247926.0
