row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi > 31/12/2021,- Thuyết minh theo loại tiền gửi > 01/01/2021,numeric__- Thuyết minh theo loại tiền gửi > 31/12/2021,numeric__- Thuyết minh theo loại tiền gửi > 01/01/2021
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",5.869.463,6.163.218,5869463.0,6163218.0
- Bằng VND,- Bằng VND,- Bằng VND,5.769.983,6.073.979,5769983.0,6073979.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,99.480,89.239,99480.0,89239.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",58.430.909,65.717.151,58430909.0,65717151.0
- Bằng VND,- Bằng VND,- Bằng VND,57.868.463,63.276.872,57868463.0,63276872.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,562.446,2.440.279,562446.0,2440279.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,782,8.908,782.0,8908.0
Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,218.939,195.475,218939.0,195475.0
- Bằng VND,- Bằng VND,- Bằng VND,218.140,195.451,218140.0,195451.0
- Bằng ngoại hối,- Bằng ngoại hối,- Bằng ngoại hối,799,24,799.0,24.0
Tổng cộng,Tổng cộng,Tổng cộng,64.520.093,72.084.752,64520093.0,72084752.0
