row_label_raw,row_label_full,col_0,Cây trồnglâu năm,"Phương tiệnvận tải, truyền dẫn",Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Thiết bịvăn phòng,Tài sản khác,Ngàn VNDTổng cộng,numeric__Cây trồnglâu năm,"numeric__Phương tiệnvận tải, truyền dẫn",numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.685.218.545,981.927.997,831.277.211,234.449.259,3.071.174,6.113.301,7.742.057.487,5685218545.0,981927997.0,831277211.0,234449259.0,3071174.0,6113301.0,7742057487.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,564.344.901,1.901.914,959.541,1.951.656,-,125.523,569.283.535,564344901.0,1901914.0,959541.0,1951656.0,,125523.0,569283535.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,3.015.357,133.748,21.034.779,-,-,24.183.884,,3015357.0,133748.0,21034779.0,,,24183884.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.261.603),-,(1.186.206),-,-,(3.447.809),,-2261603.0,,-1186206.0,,,-3447809.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.314.127.756),(7.671.071),-,(288.697),-,-,(1.322.087.524),-1314127756.0,-7671071.0,,-288697.0,,,-1322087524.0
Chênh lệch tỷ giá (*),Nguyên giá > Chênh lệch tỷ giá (*),Chênh lệch tỷ giá (*),307.476.800,58.009.350,48.153.170,13.154.443,6.311,367.519,427.167.593,307476800.0,58009350.0,48153170.0,13154443.0,6311.0,367519.0,427167593.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.242.912.490,1.034.921.944,880.523.670,269.115.234,3.077.485,6.606.343,7.437.157.166,5242912490.0,1034921944.0,880523670.0,269115234.0,3077485.0,6606343.0,7437157166.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,127.126.171,24.033.981,125.892.474,350.916,2.462.402,279.865.944,,127126171.0,24033981.0,125892474.0,350916.0,2462402.0,279865944.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(1.058.300.162),(390.987.340),(290.210.206),(124.588.369),(1.551.436),(3.628.847),(1.869.266.360),-1058300162.0,-390987340.0,-290210206.0,-124588369.0,-1551436.0,-3628847.0,-1869266360.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(383.324.978),(68.424.884),(49.987.183),(19.376.058),(553.084),(525.640),(522.191.827),-383324978.0,-68424884.0,-49987183.0,-19376058.0,-553084.0,-525640.0,-522191827.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,201.928,-,111.246,-,-,313.174,,201928.0,,111246.0,,,313174.0
Xóa số,Khấu hao lũy kế > Xóa số,Xóa số,288.839.892,7.671.073,-,288.697,-,-,296.799.662,288839892.0,7671073.0,,288697.0,,,296799662.0
Chênh lệch tỷ giá (*),Khấu hao lũy kế > Chênh lệch tỷ giá (*),Chênh lệch tỷ giá (*),(58.894.922),(22.548.273),(16.616.212),(6.609.209),(3.261),(218.148),(104.890.025),-58894922.0,-22548273.0,-16616212.0,-6609209.0,-3261.0,-218148.0,-104890025.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(1.211.680.170),(474.087.496),(356.813.601),(150.173.693),(2.107.781),(4.372.635),(2.199.235.376),-1211680170.0,-474087496.0,-356813601.0,-150173693.0,-2107781.0,-4372635.0,-2199235376.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.626.918.383,590.940.657,541.067.005,109.860.890,1.519.738,2.484.454,5.872.791.127,4626918383.0,590940657.0,541067005.0,109860890.0,1519738.0,2484454.0,5872791127.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,4.031.232.320,560.834.448,523.710.069,118.941.541,969.704,2.233.708,5.237.921.790,4031232320.0,560834448.0,523710069.0,118941541.0,969704.0,2233708.0,5237921790.0
Trong đó:The chấp để đảm bảo cho các khoản vay (TM số 22),Giá trị còn lại > Trong đó:The chấp để đảm bảo cho các khoản vay (TM số 22),Trong đó:The chấp để đảm bảo cho các khoản vay (TM số 22),4.031.232.320,560.834.448,523.710.069,118.941.541,969.704,2.233.708,5.237.921.790,4031232320.0,560834448.0,523710069.0,118941541.0,969704.0,2233708.0,5237921790.0
