row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Sử dụng và hoàn nhập dự phòng trong năm,Năm nay > 44.233.627 > 20.784.961 > (1.206.219),Ngàn VNDNăm trước > 16.368.434 > 41.743.636 > (10.289.074),numeric__Năm nay > 44.233.627 > 20.784.961 > (1.206.219),numeric__Ngàn VNDNăm trước > 16.368.434 > 41.743.636 > (10.289.074)
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,(3.589.369),,-3589369.0
Số cuối năm,Số cuối năm,Số cuối năm,63.812.369,44.233.627,63812369.0,44233627.0
