row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),,,,
THAGRICO,Phải trả ngắn hạn khác (TM số 21) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ Nhờ chi hộ,6.039.514,131.156.340,,,6039514.0,131156340.0
THAGRICO,Phải trả ngắn hạn khác (TM số 21) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ Nhờ chi hộ,-,5.620.555,,,,5620555.0
Daun Penh,Phải trả ngắn hạn khác (TM số 21) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Mượn vật tư,2.241.995,349.498,,,2241995.0,349498.0
HA Lymphat,Phải trả ngắn hạn khác (TM số 21) > HA Lymphat,HA Lymphat,Công ty con của công ty có cùng thành viên HĐQT,"Mượn vật tư, tiền",764.040,917.484,,,764040.0,917484.0
HA Andong Meas,Phải trả ngắn hạn khác (TM số 21) > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Mượn vật tư,156.239,1.721.851,,,156239.0,1721851.0
Khác,Phải trả ngắn hạn khác (TM số 21) > Khác,Khác,Các bên liên quan,Khác,899.267,4.000.092,,,899267.0,4000092.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 21) > TỔNG CỘNG,TỔNG CỘNG,,,10.101.055,143.765.820,,,10101055.0,143765820.0
Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),,,,
Cơ khí Chu Lai,Phải trả dài hạn khác (TM số 21) > Cơ khí Chu Lai,Cơ khí Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,7.291.021,1.029.311,,,7291021.0,1029311.0
HAG,Phải trả dài hạn khác (TM số 21) > HAG,HAG,Cổ đông lớn,Mượn tiền,-,17.087.335,,,,17087335.0
Khác,Phải trả dài hạn khác (TM số 21) > Khác,Khác,Các bên liên quan,Khác,1.872.122,769.903,,,1872122.0,769903.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 21) > TỔNG CỘNG,TỔNG CỘNG,,,9.163.143,18.886.549,,,9163143.0,18886549.0
Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),,,,
THAGRICO,Vay ngắn hạn (TM số 22.2 và TM số 22.3) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,2.530.493.002,1.351.784.994,,,2530493002.0,1351784994.0
HAG,Vay ngắn hạn (TM số 22.2 và TM số 22.3) > HAG,HAG,Cổ đông lớn,Vay,500.000.000,41.823.963,,,500000000.0,41823963.0
TỔNG CỘNG,Vay ngắn hạn (TM số 22.2 và TM số 22.3) > TỔNG CỘNG,TỔNG CỘNG,,,3.030.493.002,1.393.608.957,,,3030493002.0,1393608957.0
Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),,,,
HAG,Vay dài hạn (TM số 22.3) > HAG,HAG,Cổ đông lớn,Vay,1.013.552.517,741.353.851,,,1013552517.0,741353851.0
THAGRICO,Vay dài hạn (TM số 22.3) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,586.343.971,457.052.500,,,586343971.0,457052500.0
TỔNG CỘNG,Vay dài hạn (TM số 22.3) > TỔNG CỘNG,TỔNG CỘNG,,,1.599.896.488,1.198.406.351,,,1599896488.0,1198406351.0
