row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),,,,
Chăn Nuôi Bò Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 6) > Chăn Nuôi Bò Trung Nguyên,Chăn Nuôi Bò Trung Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa,69.660,682.790,,,69660.0,682790.0
HA Andong Meas,Phải thu ngắn hạn của khách hàng (TM số 6) > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Cung cấp dịch vụ,498.322,431.628,,,498322.0,431628.0
Daun Penh Agrico,Phải thu ngắn hạn của khách hàng (TM số 6) > Daun Penh Agrico,Daun Penh Agrico,Công ty con của công ty có cùng thành viên HĐQT,Cung cấp dịch vụ,61.399,-,,,61399.0,
THAGRICO,Phải thu ngắn hạn của khách hàng (TM số 6) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bán hàng hóa,-,42.753.287,,,,42753287.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa,-,3.578.369,,,,3578369.0
Khác,Phải thu ngắn hạn của khách hàng (TM số 6) > Khác,Khác,Các bên liên quan,Bán hàng hóa,-,429.970,,,,429970.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 6) > TỔNG CỘNG,TỔNG CỘNG,,,629.381,47.876.044,,,629381.0,47876044.0
Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),Trả trước cho người bán ngắn hạn (TM số 7),,,,
THAGRICO,Trả trước cho người bán ngắn hạn (TM số 7) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,22.627.027,39.013.212,,,22627027.0,39013212.0
Xây dựng Trường Hải,Trả trước cho người bán ngắn hạn (TM số 7) > Xây dựng Trường Hải,Xây dựng Trường Hải,Công ty con của công ty có cùng thành viên HĐQT,Tạm ứng thi công,1.886.862,-,,,1886862.0,
Khác,Trả trước cho người bán ngắn hạn (TM số 7) > Khác,Khác,Bên liên quan,Tạm ứng mua hàng hóa,40.310,399.009,,,40310.0,399009.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (TM số 7) > TỔNG CỘNG,TỔNG CỘNG,,,24.554.199,39.412.221,,,24554199.0,39412221.0
