row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(3.565.529.934),(1.298.802.530),-3565529934.0,-1298802530.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,
Các khoản lỗ của các công ty con,Điều chỉnh cho các khoản: > Các khoản lỗ của các công ty con,Các khoản lỗ của các công ty con,3.792.765.856,1.275.335.585,3792765856.0,1275335585.0
Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,(80.802.556),274.503.962,-80802556.0,274503962.0
Các khoản chi phí không được trừ,Điều chỉnh cho các khoản: > Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,66.801.581,62.587.408,66801581.0,62587408.0
Thay đổi lợi nhuận nội bộ chưa thực hiện,Điều chỉnh cho các khoản: > Thay đổi lợi nhuận nội bộ chưa thực hiện,Thay đổi lợi nhuận nội bộ chưa thực hiện,(4.470.218),24.324.938,-4470218.0,24324938.0
Chênh lệch tỷ giá hối đoái,Điều chỉnh cho các khoản: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(9.909.438),4.158.395,-9909438.0,4158395.0
Lãi (lỗ) từ thanh lý các khoản đầu tư loại trừ ở khía cạnh hợp nhất,Điều chỉnh cho các khoản: > Lãi (lỗ) từ thanh lý các khoản đầu tư loại trừ ở khía cạnh hợp nhất,Lãi (lỗ) từ thanh lý các khoản đầu tư loại trừ ở khía cạnh hợp nhất,-,(318.853.782),,-318853782.0
Lãi từ công ty liên kết,Điều chỉnh cho các khoản: > Lãi từ công ty liên kết,Lãi từ công ty liên kết,(36.777.967),(19.388.990),-36777967.0,-19388990.0
Lỗ được chuyển từ các năm trước,Điều chỉnh cho các khoản: > Lỗ được chuyển từ các năm trước,Lỗ được chuyển từ các năm trước,(46.819.044),(6.242.440),-46819044.0,-6242440.0
Lợi nhuận từ hoạt động được miễn thuế,Điều chỉnh cho các khoản: > Lợi nhuận từ hoạt động được miễn thuế,Lợi nhuận từ hoạt động được miễn thuế,4.938.679,-,4938679.0,
Các khoản khác,Điều chỉnh cho các khoản: > Các khoản khác,Các khoản khác,(115.258.281),9.178.733,-115258281.0,9178733.0
Thu nhập chịu thuế uốc tính trong năm,Điều chỉnh cho các khoản: > Thu nhập chịu thuế uốc tính trong năm,Thu nhập chịu thuế uốc tính trong năm,4.938.678,6.801.279,4938678.0,6801279.0
Thuế TNDN hiện hành uốc tính,Điều chỉnh cho các khoản: > Thuế TNDN hiện hành uốc tính,Thuế TNDN hiện hành uốc tính,987.736,1.360.256,987736.0,1360256.0
Chi phí thuế TNDN hiện hành uốc tính trong năm,Điều chỉnh cho các khoản: > Chi phí thuế TNDN hiện hành uốc tính trong năm,Chi phí thuế TNDN hiện hành uốc tính trong năm,987.736,1.360.256,987736.0,1360256.0
Thuế TNDN phải nộp đầu năm,Điều chỉnh cho các khoản: > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,8.058.587,21.249.238,8058587.0,21249238.0
Thanh lý công ty con,Điều chỉnh cho các khoản: > Thanh lý công ty con,Thanh lý công ty con,-,(12.621.115),,-12621115.0
Các khoản khác,Điều chỉnh cho các khoản: > Các khoản khác,Các khoản khác,469.894,(1.929.792),469894.0,-1929792.0
Thuế TNDN phải nộp cuối năm,Điều chỉnh cho các khoản: > Thuế TNDN phải nộp cuối năm,Thuế TNDN phải nộp cuối năm,9.516.217,8.058.587,9516217.0,8058587.0
