row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,2.578.143.970,2.131.420.615,,,2578143970.0,2131420615.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bán hàng hóa và cung cấp dịch vụ,657.568.218,465.619.768,,,657568218.0,465619768.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,"Mua vật tư, hàng hóa và dịch vụ",742.097.338,586.247.197,,,742097338.0,586247197.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,137.985.954,70.650.353,,,137985954.0,70650353.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bù trừ nợ gốc vay,112.445.629,3.789.813.271,,,112445629.0,3789813271.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Trả gốc vay,72.629.070,2.965.460.727,,,72629070.0,2965460727.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua tài sản,25.373.831,-,,,25373831.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Thu tiền chuyển nhượng công ty con Chuyển nhượng công ty con,-,2.651.644.988,,,,2651644988.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Thu tiền chuyển nhượng công ty con Chuyển nhượng công ty con,-,4.149.882.400,,,,4149882400.0
HAG,HAG,HAG,Cổ đông lớn,Trả gốc vay,600.000.000,-,,,600000000.0,
HAG,HAG,HAG,Cổ đông lớn,Cán trừ công nợ,-,48.215.005,,,,48215005.0
HAG,HAG,HAG,Cổ đông lớn,Cán trừ nợ gốc vay,3.578.369,6.011.541,,,3578369.0,6011541.0
THILOGI,THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Mua dịch vụ,15.169.643,149.651.298,,,15169643.0,149651298.0
THILOGI,THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Vay,8.200.000,161.810.629,,,8200000.0,161810629.0
THILOGI,THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Trả gốc vay,8.200.000,49.365.000,,,8200000.0,49365000.0
THILOGI,THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Lãi vay,121.726,5.233.154,,,121726.0,5233154.0
THILOGI,THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Cán trừ nợ gốc vay,-,112.445.629,,,,112445629.0
Thaco Chu Lai,Thaco Chu Lai,Thaco Chu Lai,Công ty có cùng thành viên HĐQT,"Mua hàng hóa, dịch vụ",55.233.091,-,,,55233091.0,
Thaco Chu Lai,Thaco Chu Lai,Thaco Chu Lai,Công ty có cùng thành viên HĐQT,"Mua công cụ, dụng cụ",-,77.830.647,,,,77830647.0
HA Lumphat,HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Cán trừ công nợ,3.004.820,6.774.801,,,3004820.0,6774801.0
HA Lumphat,HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,9.476.236,3.957.650,,,9476236.0,3957650.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa và cung cấp dịch vụ,-,5.105.496,,,,5105496.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Thu gốc cho vay,-,431.577.294,,,,431577294.0
Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,24.200.651,,,,24200651.0
Bình Phước Kratie,Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,707.887,16.803.032,,,707887.0,16803032.0
Bình Phước Kratie,Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Mượn vật tư,1.201.647,-,,,1201647.0,
HA Đắk Lắk,HA Đắk Lắk,HA Đắk Lắk,Công ty con của công ty có cùng thành viên HĐQT,Cán trừ công nợ,-,251.607.120,,,,251607120.0
An Đông Mia Việt Nam,An Đông Mia Việt Nam,An Đông Mia Việt Nam,Công ty con của công ty có cùng thành viên HĐQT,Thu gốc cho vay,-,154.759.772,,,,154759772.0
An Đông Mia Việt Nam,An Đông Mia Việt Nam,An Đông Mia Việt Nam,Công ty con của công ty có cùng thành viên HĐQT,Thu lãi cho vay,-,16.348.205,,,,16348205.0
An Đông Mia Việt Nam,An Đông Mia Việt Nam,An Đông Mia Việt Nam,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,8.458.788,,,,8458788.0
An Đông Mia Campuchia,An Đông Mia Campuchia,An Đông Mia Campuchia,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,18.878.487,-,,,18878487.0,
