row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),Phải trả người bán ngắn hạn (tiếp theo) (TM số 17),,,,
Công ty TNHH Sản xuất Bao bì Thaco Chu Lai,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > Công ty TNHH Sản xuất Bao bì Thaco Chu Lai,Công ty TNHH Sản xuất Bao bì Thaco Chu Lai,Công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,20.066.276,-,,,20066276.0,
Công ty TNHH Sản xuất Linh kiện Nội thất Ô tô Thaco,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > Công ty TNHH Sản xuất Linh kiện Nội thất Ô tô Thaco,Công ty TNHH Sản xuất Linh kiện Nội thất Ô tô Thaco,Công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,5.112.395,-,,,5112395.0,
Bus Trường Hải,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > Bus Trường Hải,Bus Trường Hải,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,2.963.100,2.963.100,,,2963100.0,2963100.0
THILOGI,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Mua dịch vụ,2.601.222,8.717.584,,,2601222.0,8717584.0
Nông nghiệp Thilogi,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > Nông nghiệp Thilogi,Nông nghiệp Thilogi,Công ty con của công ty có cùng thành viên HĐQT,Mua dịch vụ,1.462.740,4.695.790,,,1462740.0,4695790.0
Khác,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > Khác,Khác,Các bên liên quan,Mua hàng hóa và dịch vụ,778.352,2.057.950,,,778352.0,2057950.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (tiếp theo) (TM số 17) > TỔNG CỘNG,TỔNG CỘNG,,,191.718.831,297.856.878,,,191718831.0,297856878.0
Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),,,,
THAGRICO,Người mua trả tiền trước ngắn hạn (TM số 18) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Ứng tiền mua trái cây,669.793.293,71.857.177,,,669793293.0,71857177.0
Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),,,,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay Mua hàng,98.571.561 128.400,14.401.614 128.400,,,,
THILOGI,THAGRICO > THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Mua dịch vụ,-,954.542,,,,954542.0
TỔNG CỘNG,THAGRICO > TỔNG CỘNG,TỔNG CỘNG,,,98.699.961,15.484.556,,,98699961.0,15484556.0
Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),,,,
THAGRICO,Chi phí phải trả dài hạn (TM số 20) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,57.094.890,3.278.882,,,57094890.0,3278882.0
HAG,Chi phí phải trả dài hạn (TM số 20) > HAG,HAG,Cổ đông lớn,Lãi vay,10.466.085,9.904.447,,,10466085.0,9904447.0
TỔNG CỘNG,Chi phí phải trả dài hạn (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,,67.560.975,13.183.329,,,67560975.0,13183329.0
