row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
THAGRICO,Phải thu ngắn hạn khác (TM số 8) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cấn trừ công nợ,127.304.338,-,,,127304338.0,
Daun Penh,Phải thu ngắn hạn khác (TM số 8) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,39.729.431,5.159.209,,,39729431.0,5159209.0
Bidiphar,Phải thu ngắn hạn khác (TM số 8) > Bidiphar,Bidiphar,Công ty liên kết,Cổ tức,26.144.558,-,,,26144558.0,
HA Andong Meas,Phải thu ngắn hạn khác (TM số 8) > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Cấn trừ công nợ Cho mượn,18.367.623,195.894.200,,,18367623.0,195894200.0
HA Lumphat,Phải thu ngắn hạn khác (TM số 8) > HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,-,12.624.537,,,,12624537.0
Bình Phước Kratie,Phải thu ngắn hạn khác (TM số 8) > Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,442.207,15.888.212,,,442207.0,15888212.0
Khác,Phải thu ngắn hạn khác (TM số 8) > Khác,Khác,Các bên liên quan,Khác,7.345.410,2.676.053,,,7345410.0,2676053.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,228.480.761,273.677.840,,,228480761.0,273677840.0
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,,
HA Andong Meas,HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,-,-,,,,
Bò sữa Tây Nguyên,HA Andong Meas > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,239.007,,,,239007.0
TỔNG CỘNG,HA Andong Meas > TỔNG CỘNG,TỔNG CỘNG,,,-,239.007,,,,239007.0
Phải trả người bán ngắn hạn ((TM số 17),Phải trả người bán ngắn hạn ((TM số 17),Phải trả người bán ngắn hạn ((TM số 17),Phải trả người bán ngắn hạn ((TM số 17),Phải trả người bán ngắn hạn ((TM số 17),Phải trả người bán ngắn hạn ((TM số 17),Phải trả người bán ngắn hạn ((TM số 17),,,,
THAGRICO,Phải trả người bán ngắn hạn ((TM số 17) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua vật tư và dịch vụ,112.713.912,205.532.754,,,112713912.0,205532754.0
Du lịch Chu Lai,Phải trả người bán ngắn hạn ((TM số 17) > Du lịch Chu Lai,Du lịch Chu Lai,Công ty có cùng thành viên HĐQT,Mua hàng hóa và dịch vụ,24.300.000,-,,,24300000.0,
Cơ khí Chu Lai,Phải trả người bán ngắn hạn ((TM số 17) > Cơ khí Chu Lai,Cơ khí Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua vật tư và dịch vụ,21.720.834,73.889.700,,,21720834.0,73889700.0
