row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Ông Trần Bá Dương,Ông Trần Bá Dương,Ông Trần Bá Dương,Chủ tịch HĐQT,
Ông Đoàn Nguyễn Đức,Ông Đoàn Nguyễn Đức,Ông Đoàn Nguyễn Đức,Phó Chủ tịch HĐQT,
Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Thành viên HĐQT kiểm Tổng Giám đốc,
Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Thành viên HĐQT kiểm Phó tổng Giám đốc,
Ông Nguyễn Phúc Thịnh,Ông Nguyễn Phúc Thịnh,Ông Nguyễn Phúc Thịnh,Thành viên HĐQT,
Công ty Cổ phần Tập đoàn,Công ty Cổ phần Tập đoàn,Công ty Cổ phần Tập đoàn,"Cổ đông lớn, Công ty có cùng",
"Trường Hải (""THACO"")","Trường Hải (""THACO"")","Trường Hải (""THACO"")",thành viên HĐQT,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,
Công ty TNHH Giao Nhận Vận Chuyển Quốc,Công ty TNHH Giao Nhận Vận Chuyển Quốc,Công ty TNHH Giao Nhận Vận Chuyển Quốc,Công ty có cùng thành viên HĐQT,
"Tế Trường Hải (""THILOGI"")","Tế Trường Hải (""THILOGI"")","Tế Trường Hải (""THILOGI"")",,
"Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh (""DQM"")","Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh (""DQM"")","Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh (""DQM"")",Công ty có cùng Chủ tịch HĐQT,
HAG,HAG,HAG,"Cổ đông lớn, Công ty",
,,,có cùng thành viên HĐQT,
"Công ty TNHH MTV Daun Penh Agrico (""Daun Penh"")","Công ty TNHH MTV Daun Penh Agrico (""Daun Penh"")","Công ty TNHH MTV Daun Penh Agrico (""Daun Penh"")",Công ty con của Công ty,
,,,có cùng thành viên HĐQT,
Công ty TNHH MTV Hoàng Anh,Công ty TNHH MTV Hoàng Anh,Công ty TNHH MTV Hoàng Anh,Công ty con của Công ty,
"An Đông Meas (""HA Andong Meas"")","An Đông Meas (""HA Andong Meas"")","An Đông Meas (""HA Andong Meas"")",có cùng thành viên HĐQT,
Công ty TNHH MTV Cao su Hoàng Anh,Công ty TNHH MTV Cao su Hoàng Anh,Công ty TNHH MTV Cao su Hoàng Anh,Công ty con của Công ty,
"Quang Minh (""HAQM Việt Nam"")","Quang Minh (""HAQM Việt Nam"")","Quang Minh (""HAQM Việt Nam"")",có cùng thành viên HĐQT,
