row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,614.102.838,597.100.799,614102838.0,597100799.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,576.224.704,400.778.541,576224704.0,400778541.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,29.936.547,184.235.007,29936547.0,184235007.0
Chi phí khác,Chi phí khác,Chi phí khác,7.941.587,12.087.251,7941587.0,12087251.0
Dài hạn,Dài hạn,Dài hạn,261.805.711,362.533.239,261805711.0,362533239.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,261.805.711,362.533.239,261805711.0,362533239.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,875.908.549,959.634.038,875908549.0,959634038.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (TM số 31),Phải trả các bên liên quan (TM số 31),Phải trả các bên liên quan (TM số 31),Phải trả các bên liên quan (TM số 31),Phải trả các bên liên quan (TM số 31),,
- Ngân hạn,Phải trả các bên liên quan (TM số 31) > - Ngân hạn,- Ngân hạn,98.699.961,15.484.556,98699961.0,15484556.0
- Dài hạn,Phải trả các bên liên quan (TM số 31) > - Dài hạn,- Dài hạn,67.560.975,13.183.329,67560975.0,13183329.0
Phải trả các bên thứ ba,Phải trả các bên liên quan (TM số 31) > Phải trả các bên thứ ba,Phải trả các bên thứ ba,709.647.613,930.966.153,709647613.0,930966153.0
