row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,273.169.821,303.656.427,273169821.0,303656427.0
Cho mượn các công ty,Cho mượn các công ty,Cho mượn các công ty,205.078.864,273.584.114,205078864.0,273584114.0
Phải thu cổ tức,Phải thu cổ tức,Phải thu cổ tức,26.144.558,-,26144558.0,
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,9.669.950,7.367.477,9669950.0,7367477.0
Khác,Khác,Khác,32.276.449,22.704.836,32276449.0,22704836.0
Dài hạn,Dài hạn,Dài hạn,220.713,450.117,220713.0,450117.0
Ký quỹ dài hạn,Ký quỹ dài hạn,Ký quỹ dài hạn,220.713,211.111,220713.0,211111.0
Khác,Khác,Khác,-,239.006,,239006.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,273.390.534,304.106.544,273390534.0,304106544.0
Dự phòng phải thu khác ngắn hạn,Dự phòng phải thu khác ngắn hạn,Dự phòng phải thu khác ngắn hạn,(21.012.000),(14.708.400),-21012000.0,-14708400.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,252.378.534,289.398.144,252378534.0,289398144.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),,
- Ngắn hạn,Phải thu từ các bên liên quan (TM số 31) > - Ngắn hạn,- Ngắn hạn,228.480.761,273.677.840,228480761.0,273677840.0
- Dài hạn,Phải thu từ các bên liên quan (TM số 31) > - Dài hạn,- Dài hạn,-,239.007,,239007.0
Phải thu từ các bên khác,Phải thu từ các bên liên quan (TM số 31) > Phải thu từ các bên khác,Phải thu từ các bên khác,23.897.773,15.481.297,23897773.0,15481297.0
