row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.253.990,5.980.000,11.233.990,5253990.0,5980000.0,11233990.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,315.844,-,315.844,315844.0,,315844.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.569.834,5.980.000,11.549.834,5569834.0,5980000.0,11549834.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(1.245.833),(1.245.833),,-1245833.0,-1245833.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(747.500),(747.500),,-747500.0,-747500.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(1.993.333),(1.993.333),,-1993333.0,-1993333.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,5.253.990,4.734.167,9.988.157,5253990.0,4734167.0,9988157.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,5.569.834,3.986.667,9.556.501,5569834.0,3986667.0,9556501.0
