row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngàn VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,1.100.450.823,98.484.049,-,1.198.934.872,1100450823.0,98484049.0,,1198934872.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,555.846.856,552.411.853,(1.108.258.709),-,555846856.0,552411853.0,-1108258709.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,1.656.297.679,650.895.902,(1.108.258.709),1.198.934.872,1656297679.0,650895902.0,-1108258709.0,1198934872.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,63.248.469,590.687.427,(1.108.258.709),(454.322.813) (433.712.128),63248469.0,590687427.0,-1108258709.0,
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,,,,,,,,
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(888.034.941) 142.294.558,,,,
Doanh thu tài chính,"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính > Doanh thu tài chính",Doanh thu tài chính,,,,(572.451.137),,,,-572451137.0
Chi phí tài chính,"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính > Chi phí tài chính",Chi phí tài chính,,,,19.388.990,,,,19388990.0
Chia lãi từ công ty liên kết,Chia lãi từ công ty liên kết,Chia lãi từ công ty liên kết,,,,,,,,
Lỗ kế toán trước thuế,Chia lãi từ công ty liên kết > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,(1.298.802.530),,,,-1298802530.0
Chi phí thuế TNDN hiện hành,Chia lãi từ công ty liên kết > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(1.360.256),,,,-1360256.0
Chi phí thuế thu nhập hoãn lại,Chia lãi từ công ty liên kết > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,180.732.475,,,,180732475.0
Lỗ thuần trong năm,Chia lãi từ công ty liên kết > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,(1.119.430.311),,,,-1119430311.0
Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,13.165.906.971,531.106.019,,13.697.012.990,13165906971.0,531106019.0,,13697012990.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,320.033.419,-,,320.033.419,320033419.0,,,320033419.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,14.017.046.409,,,,14017046409.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(7.618.122.877),(401.900.105),,(8.020.022.982),-7618122877.0,-401900105.0,,-8020022982.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(8.020.022.982),,,,-8020022982.0
