row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,numeric__Ngàn VND,numeric__Ngàn VND_1
,,,Năm nay,Năm trước,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,21.369.122,175.496.699,21369122.0,175496699.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,10.393.432,4.934.389,10393432.0,4934389.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,6.746.102,159.991.506,6746102.0,159991506.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,3.827.000,5.867.514,3827000.0,5867514.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,67.056,207.937,67056.0,207937.0
Khác,Khác,Khác,335.532,4.495.353,335532.0,4495353.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,95.266.780,134.707.366,95266780.0,134707366.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,40.978.697,32.334.663,40978697.0,32334663.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,26.591.348,51.808.715,26591348.0,51808715.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,18.894.459,17.408.468,18894459.0,17408468.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,4.496.800,4.603.997,4496800.0,4603997.0
Khác,Khác,Khác,4.305.476,28.551.523,4305476.0,28551523.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,116.635.902,310.204.065,116635902.0,310204065.0
