row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Lỗ lũy kế,Cổ đông không kiểm soát,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lỗ lũy kế,numeric__Cổ đông không kiểm soát,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(1.269.791.027),(2.306.105.397),250.101,8.680.019.627,11085538950.0,1170127000.0,-1269791027.0,-2306105397.0,250101.0,8680019627.0
Lỗ trong năm,Năm trước > Lỗ trong năm,Lỗ trong năm,-,,-,(1.119.430.311),-,(1.119.430.311),,,,-1119430311.0,,-1119430311.0
Chênh lệch tỷ giá hối đoái (*),Năm trước > Chênh lệch tỷ giá hối đoái (*),Chênh lệch tỷ giá hối đoái (*),-,-,(1.562.355.788),-,-,(1.562.355.788),,,-1562355788.0,,,-1562355788.0
Thanh lý công ty,Năm trước > Thanh lý công ty,Thanh lý công ty,-,-,-,-,(250.101),(250.101),,,,,-250101.0,-250101.0
Thù lao HĐQT và BKS,Năm trước > Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,-,-,-,(960.000),-,(960.000),,,,-960000.0,,-960000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(2.832.146.815),(3.426.495.708),-,5.997.023.427,11085538950.0,1170127000.0,-2832146815.0,-3426495708.0,,5997023427.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(2.832.146.815),(3.426.495.708),-,5.997.023.427,11085538950.0,1170127000.0,-2832146815.0,-3426495708.0,,5997023427.0
Lỗ trong năm,Năm nay > Lỗ trong năm,Lỗ trong năm,-,-,-,(3.576.449.702),-,(3.576.449.702),,,,-3576449702.0,,-3576449702.0
Chênh lệch tỷ giá hối đoái (*),Năm nay > Chênh lệch tỷ giá hối đoái (*),Chênh lệch tỷ giá hối đoái (*),-,-,614.451.270,-,-,614.451.270,,,614451270.0,,,614451270.0
Thù lao HĐQT và BKS,Năm nay > Thù lao HĐQT và BKS,Thù lao HĐQT và BKS,-,-,-,(552.000),-,(552.000),,,,-552000.0,,-552000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(2.217.695.545),(7.003.497.410),-,3.034.472.995,11085538950.0,1170127000.0,-2217695545.0,-7003497410.0,,3034472995.0
