row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngah VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngah VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,727.073.793,14.722.379,-,741.796.172,727073793.0,14722379.0,,741796172.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,209.280.684,692.696.290,(901.976.974),-,209280684.0,692696290.0,-901976974.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,936.354.477,707.418.669,(901.976.974),741.796.172,936354477.0,707418669.0,-901976974.0,741796172.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,(766.206.736),697.369.053,(901.958.483),(970.796.166) (2.374.289.251),-766206736.0,697369053.0,-901958483.0,
Chỉ phí hoạt động,Chỉ phí hoạt động,Chỉ phí hoạt động,,,,,,,,
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(3.345.085.417) 76.505.497,,,,
Doanh thu tài chính,"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính > Doanh thu tài chính",Doanh thu tài chính,,,,(333.727.981),,,,-333727981.0
Chi phí tài chính,"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính > Chi phí tài chính",Chi phí tài chính,,,,36.777.967,,,,36777967.0
Chia lãi trong công ty liên kết,Chia lãi trong công ty liên kết,Chia lãi trong công ty liên kết,,,,,,,,
Lỗ kế toán trước thuế,Chia lãi trong công ty liên kết > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,(3.565.529.934),,,,-3565529934.0
Chi phí thuế TNDN hiện hành,Chia lãi trong công ty liên kết > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(987.736),,,,-987736.0
Thu nhập thuế thu nhập hoãn lại,Chia lãi trong công ty liên kết > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,,(9.932.032),,,,-9932032.0
Lỗ thuần trong năm,Chia lãi trong công ty liên kết > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,(3.576.449.702),,,,-3576449702.0
Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,10.487.938.366,1.823.438.192,,12.311.376.558,10487938366.0,1823438192.0,,12311376558.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,357.606.968,862.796,,358.469.764,357606968.0,862796.0,,358469764.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,12.669.846.322,,,,12669846322.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(9.444.400.319),(190.973.008),,(9.635.373.327),-9444400319.0,-190973008.0,,-9635373327.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(9.635.373.327),,,,-9635373327.0
