row_label_raw,row_label_full,(b) Đầu tư tài chính dài hạn,(b) Đầu tư tài chính dài hạn_1,(b) Đầu tư tài chính dài hạn_2,(b) Đầu tư tài chính dài hạn_3,(b) Đầu tư tài chính dài hạn_4,(b) Đầu tư tài chính dài hạn_5,(b) Đầu tư tài chính dài hạn_6,(b) Đầu tư tài chính dài hạn_7,(b) Đầu tư tài chính dài hạn_8,(b) Đầu tư tài chính dài hạn_9,(b) Đầu tư tài chính dài hạn_10,(b) Đầu tư tài chính dài hạn_11,(b) Đầu tư tài chính dài hạn_12,numeric__(b) Đầu tư tài chính dài hạn_1,numeric__(b) Đầu tư tài chính dài hạn_2,numeric__(b) Đầu tư tài chính dài hạn_3,numeric__(b) Đầu tư tài chính dài hạn_4,numeric__(b) Đầu tư tài chính dài hạn_5,numeric__(b) Đầu tư tài chính dài hạn_6,numeric__(b) Đầu tư tài chính dài hạn_7,numeric__(b) Đầu tư tài chính dài hạn_8,numeric__(b) Đầu tư tài chính dài hạn_9,numeric__(b) Đầu tư tài chính dài hạn_10,numeric__(b) Đầu tư tài chính dài hạn_11,numeric__(b) Đầu tư tài chính dài hạn_12
,,,Số lượng,% vốn sở hữu,% quyền biểu quyết,31/12/2019,31/12/2019,31/12/2019,31/12/2019,% vốn sở hữu,% quyền biểu quyết,1/1/2019,1/1/2019,1/1/2019,,,,,,,,,,,,
,,,Số lượng,% vốn sở hữu,% quyền biểu quyết,Giá trị ghi số/giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,Số lượng,% vốn sở hữu,% quyền biểu quyết,Giá trị ghi số/giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,,,,,,,,,,,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,,,,,
• Công ty Cổ phần Phong diện Thuận Bình (i),Đầu tư vào công ty liên kết > • Công ty Cổ phần Phong diện Thuận Bình (i),• Công ty Cổ phần Phong diện Thuận Bình (i),3.267.920,20%,20%,43.143.008.655,-,(*),3.267.920,20%,20%,39.637.821.208,-,(*),3267920.0,0.2,0.2,43143008655.0,,,3267920.0,0.2,0.2,39637821208.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,,,,,
• Công ty Cổ phần Thủy diện A Vương,Đầu tư góp vốn vào các đơn vị khác > • Công ty Cổ phần Thủy diện A Vương,• Công ty Cổ phần Thủy diện A Vương,2.579.069,"3,3%","3,3%",24.560.000.000,-,67.829.514.700,2.579.069,"3,3%","3,3%",24.560.000.000,-,78.661.604.500,2579069.0,0.033,0.033,24560000000.0,,67829514700.0,2579069.0,0.033,0.033,24560000000.0,,78661604500.0
• Công ty Cổ phần Thủy diện Sông Ba Hạ,Đầu tư góp vốn vào các đơn vị khác > • Công ty Cổ phần Thủy diện Sông Ba Hạ,• Công ty Cổ phần Thủy diện Sông Ba Hạ,1.280.000,1%,1%,12.800.000.000,-,29.568.000.000,1.280.000,1%,1%,12.800.000.000,-,33.280.000.000,1280000.0,0.01,0.01,12800000000.0,,29568000000.0,1280000.0,0.01,0.01,12800000000.0,,33280000000.0
,,,,,,37.360.000.000,,,,,,37.360.000.000,-,,,,,37360000000.0,,,,,,37360000000.0,,
,,,,,,80.503.008.655,,,,,,76.997.821.208,-,,,,,80503008655.0,,,,,,76997821208.0,,
