row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.242.184.775.798,4.235.436.917.899,60.192.230.907,44.016.241.138,253.880.507,12.582.084.046.249,8242184775798.0,4235436917899.0,60192230907.0,44016241138.0,253880507.0,12582084046249.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,54.564.812.600,2.534.299.091,2.440.201.763,-,59.539.313.454,,54564812600.0,2534299091.0,2440201763.0,,59539313454.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,510.594.120.814,1.614.398.724.464,10.563.051.058,3.512.339.900,-,2.139.068.236.236,510594120814.0,1614398724464.0,10563051058.0,3512339900.0,,2139068236236.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(3.912.000),-,-,-,(3.912.000),,-3912000.0,,,,-3912000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.752.778.896.612,5.904.396.542.963,73.289.581.056,49.968.782.801,253.880.507,14.780.687.683.939,8752778896612.0,5904396542963.0,73289581056.0,49968782801.0,253880507.0,14780687683939.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.560.669.693.241,4.049.144.490.426,46.919.456.173,42.934.309.299,253.880.507,8.699.921.829.646,4560669693241.0,4049144490426.0,46919456173.0,42934309299.0,253880507.0,8699921829646.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,204.032.804.166,108.244.351.637,3.450.664.060,1.690.071.254,-,317.417.891.117,204032804166.0,108244351637.0,3450664060.0,1690071254.0,,317417891117.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.764.702.497.407,4.157.388.842.063,50.370.120.233,44.624.380.553,253.880.507,9.017.339.720.763,4764702497407.0,4157388842063.0,50370120233.0,44624380553.0,253880507.0,9017339720763.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.681.515.082.557,186.292.427.473,13.272.774.734,1.081.931.839,-,3.882.162.216.603,3681515082557.0,186292427473.0,13272774734.0,1081931839.0,,3882162216603.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.988.076.399.205,1.747.007.700.900,22.919.460.823,5.344.402.248,-,5.763.347.963.176,3988076399205.0,1747007700900.0,22919460823.0,5344402248.0,,5763347963176.0
