row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2019VND > 2.211.528.566,Số phải nộp trong năm VND > 151.537.946.529,Số đã nộp/cấn trừ trong năm VND > (147.720.672.363),Phân loại lại VND > -,31/12/2019VND > 6.028.802.732,numeric__1/1/2019VND > 2.211.528.566,numeric__Số phải nộp trong năm VND > 151.537.946.529,numeric__Số đã nộp/cấn trừ trong năm VND > (147.720.672.363),numeric__Phân loại lại VND > -,numeric__31/12/2019VND > 6.028.802.732
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,194.025.641.701,227.317.526.357,(364.878.499.616),228.102.633,56.692.771.075,194025641701.0,227317526357.0,-364878499616.0,228102633.0,56692771075.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.078.582.165,5.396.853.388,(7.356.267.774),-,119.167.779,2078582165.0,5396853388.0,-7356267774.0,,119167779.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,24.396.400.519,244.903.219.408,(266.167.128.316),-,3.132.491.611,24396400519.0,244903219408.0,-266167128316.0,,3132491611.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,51.615.544.638,139.389.838.114,(161.784.179.820),-,29.221.202.932,51615544638.0,139389838114.0,-161784179820.0,,29221202932.0
,,,274.327.697.589,768.545.383.796,(947.906.747.889),228.102.633,95.194.436.129,274327697589.0,768545383796.0,-947906747889.0,228102633.0,95194436129.0
(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,(b) Thuế và các khoản phải thu Nhà nước,,,,,
,,,1/1/2019VND,Số phát sinh trong năm VND,Số đã cần trừ trong năm VND,Phân loại lại VND,31/12/2019VND,,,,,
"Thuế nhà đất, tiền thuê đất","(b) Thuế và các khoản phải thu Nhà nước > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",13.759.339,-,(13.759.339),,-,13759339.0,,-13759339.0,,
Thuế thu nhập doanh nghiệp,(b) Thuế và các khoản phải thu Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,-,228.102.633,228.102.633,,,,228102633.0,228102633.0
,,,13.759.339,-,(13.759.339),228.102.633,228.102.633,13759339.0,,-13759339.0,228102633.0,228102633.0
