row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,18.950.000.000.000,1.216.727.266,-,8.182.249.669.456,2.640.908.356.774,128.657.747.553,3.100.544.872.944,33.003.577.373.993,18950000000000.0,1216727266.0,,8182249669456.0,2640908356774.0,128657747553.0,3100544872944.0,33003577373993.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,14.294.295.464.941,14.294.295.464.941,,,,,,,14294295464941.0,14294295464941.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,685.369.856.285,1.370.739.712.570,-,(2.056.109.568.855),-,,,,685369856285.0,1370739712570.0,,-2056109568855.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(440.257.782.167),(440.257.782.167),,,,,,,-440257782167.0,-440257782167.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(10.422.500.000.000),(10.422.500.000.000),,,,,,,-10422500000000.0,-10422500000000.0
Điều chỉnh theo quyết định của Đại hội đồng Cổ đông năm 2014,Điều chỉnh theo quyết định của Đại hội đồng Cổ đông năm 2014,Điều chỉnh theo quyết định của Đại hội đồng Cổ đông năm 2014,-,-,-,(1.612.672.193.928),-,-,1.612.672.193.928,-,,,,-1612672193928.0,,,1612672193928.0,
Quyết toán lượng khí trên bao tiêu nộp về Tập đoàn Dầu khí Việt Nam,Quyết toán lượng khí trên bao tiêu nộp về Tập đoàn Dầu khí Việt Nam,Quyết toán lượng khí trên bao tiêu nộp về Tập đoàn Dầu khí Việt Nam,-,-,-,-,-,-,(582.827.540.832),(582.827.540.832),,,,,,,-582827540832.0,-582827540832.0
Thuế thu nhập doanh nghiệp bổ sung từ năm 2008 đến năm 2012 của Công ty Đường ống Khí Nam Côn Sơn,Thuế thu nhập doanh nghiệp bổ sung từ năm 2008 đến năm 2012 của Công ty Đường ống Khí Nam Côn Sơn,Thuế thu nhập doanh nghiệp bổ sung từ năm 2008 đến năm 2012 của Công ty Đường ống Khí Nam Côn Sơn,-,-,-,-,-,-,(4.070.798.413),(4.070.798.413),,,,,,,-4070798413.0,-4070798413.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,18.950.000.000.000,1.216.727.266,-,7.254.947.331.813,4.011.648.069.344,128.657.747.553,5.501.746.841.546,35.848.216.717.522,18950000000000.0,1216727266.0,,7254947331813.0,4011648069344.0,128657747553.0,5501746841546.0,35848216717522.0
Trình bày lại theo Thông tư 200/TT-BTC,Trình bày lại theo Thông tư 200/TT-BTC,Trình bày lại theo Thông tư 200/TT-BTC,-,-,-,4.011.648.069.344,(4.011.648.069.344),-,-,-,,,,4011648069344.0,-4011648069344.0,,,
Số dư tại ngày 01/01/2015 (Trình bày lại),Số dư tại ngày 01/01/2015 (Trình bày lại),Số dư tại ngày 01/01/2015 (Trình bày lại),18.950.000.000.000,1.216.727.266,-,11.266.595.401.157,-,128.657.747.553,5.501.746.841.546,35.848.216.717.522,18950000000000.0,1216727266.0,,11266595401157.0,,128657747553.0,5501746841546.0,35848216717522.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,8.720.127.134.455,8.720.127.134.455,,,,,,,8720127134455.0,8720127134455.0
"Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,-,-,-,(174.396.934.316),(174.396.934.316),,,,,,,-174396934316.0,-174396934316.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(3.220.476.719.000),(3.220.476.719.000),,,,,,,-3220476719000.0,-3220476719000.0
Mua cổ phiếu quỹ (ii),Mua cổ phiếu quỹ (ii),Mua cổ phiếu quỹ (ii),-,-,(40.111.223.937),-,-,-,-,(40.111.223.937),,,-40111223937.0,,,,,-40111223937.0
Khác,Khác,Khác,-,(795.000.000),-,-,-,-,-,(795.000.000),,-795000000.0,,,,,,-795000000.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,18.950.000.000.000,421.727.266,(40.111.223.937),11.266.595.401.157,-,128.657.747.553,10.827.000.322.685,41.132.563.974.724,18950000000000.0,421727266.0,-40111223937.0,11266595401157.0,,128657747553.0,10827000322685.0,41132563974724.0
