row_label_raw,row_label_full,col_0,2015,2014(Trình bày lại),numeric__2015,numeric__2014(Trình bày lại)
,,,VND,VND,,
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán khí khô,Trong đó: > Doanh thu bán khí khô,Doanh thu bán khí khô,37.160.324.259.381,39.218.903.628.378,37160324259381.0,39218903628378.0
Doanh thu bán LPG,Trong đó: > Doanh thu bán LPG,Doanh thu bán LPG,15.469.520.204.141,20.504.945.228.392,15469520204141.0,20504945228392.0
Doanh thu vận chuyển khí và condensate,Trong đó: > Doanh thu vận chuyển khí và condensate,Doanh thu vận chuyển khí và condensate,4.317.038.685.365,3.987.363.173.048,4317038685365.0,3987363173048.0
Doanh thu bán condensate,Trong đó: > Doanh thu bán condensate,Doanh thu bán condensate,331.978.230.787,816.110.388.447,331978230787.0,816110388447.0
Doanh thu cho thuê tòa nhà PVGAS Tower,Trong đó: > Doanh thu cho thuê tòa nhà PVGAS Tower,Doanh thu cho thuê tòa nhà PVGAS Tower,39.120.432.749,44.354.720.095,39120432749.0,44354720095.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,156.094.023.304,308.923.452.060,156094023304.0,308923452060.0
,,,57.474.075.835.727,64.880.600.590.420,57474075835727.0,64880600590420.0
Doanh thu phát sinh trong năm với các bên liên quan,Trong đó: > Doanh thu phát sinh trong năm với các bên liên quan,Doanh thu phát sinh trong năm với các bên liên quan,20.488.544.276.246,24.142.342.154.795,20488544276246.0,24142342154795.0
