row_label_raw,row_label_full,col_0,2015,2014(Trình bày lại),numeric__2015,numeric__2014(Trình bày lại)
,,,VND,VND,,
Giá trị hàng mua và dịch vụ cung cấp,Giá trị hàng mua và dịch vụ cung cấp,Giá trị hàng mua và dịch vụ cung cấp,Giá trị hàng mua và dịch vụ cung cấp,Giá trị hàng mua và dịch vụ cung cấp,,
"Các Công ty con, Công ty liên kết của Công ty","Giá trị hàng mua và dịch vụ cung cấp > Các Công ty con, Công ty liên kết của Công ty","Các Công ty con, Công ty liên kết của Công ty",822.397.091.875,1.517.826.210.060,822397091875.0,1517826210060.0
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,597.024.890.743,81.619.280.351,597024890743.0,81619280351.0
Công ty Cổ phần Ông thép Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp > Công ty Cổ phần Ông thép Dầu khí Việt Nam,Công ty Cổ phần Ông thép Dầu khí Việt Nam,209.446.290.961,1.398.954.736.909,209446290961.0,1398954736909.0
Công ty CP Kinh doanh Khí Hóa Lông Miền Nam,Giá trị hàng mua và dịch vụ cung cấp > Công ty CP Kinh doanh Khí Hóa Lông Miền Nam,Công ty CP Kinh doanh Khí Hóa Lông Miền Nam,9.447.176.125,21.078.126.077,9447176125.0,21078126077.0
Công ty CP Kinh doanh Khí Hóa Lông Miền Bắc,Giá trị hàng mua và dịch vụ cung cấp > Công ty CP Kinh doanh Khí Hóa Lông Miền Bắc,Công ty CP Kinh doanh Khí Hóa Lông Miền Bắc,6.478.734.046,16.174.066.723,6478734046.0,16174066723.0
Các bên liên quan khác,Giá trị hàng mua và dịch vụ cung cấp > Các bên liên quan khác,Các bên liên quan khác,19.103.859.355.887,17.044.179.308.459,19103859355887.0,17044179308459.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp > Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,13.106.433.977.853,12.914.020.242.331,13106433977853.0,12914020242331.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,1.602.209.773.375,1.093.485.490.442,1602209773375.0,1093485490442.0
Liên doanh Việt - Nga Vietnam Petro,Giá trị hàng mua và dịch vụ cung cấp > Liên doanh Việt - Nga Vietnam Petro,Liên doanh Việt - Nga Vietnam Petro,1.331.972.053.632,658.152.243.696,1331972053632.0,658152243696.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,1.193.136.912.685,510.289.470.754,1193136912685.0,510289470754.0
Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Giá trị hàng mua và dịch vụ cung cấp > Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Công ty TNHH MTV Lộc hóa dầu Bình Sơn,809.595.496.715,1.299.683.510.537,809595496715.0,1299683510537.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,327.961.945.805,201.238.283.123,327961945805.0,201238283123.0
Tổng Công ty Cổ phần Xây lắp Dầu khí,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Cổ phần Xây lắp Dầu khí,Tổng Công ty Cổ phần Xây lắp Dầu khí,283.128.417.596,36.578.334.507,283128417596.0,36578334507.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,192.774.949.541,144.618.961.374,192774949541.0,144618961374.0
Trường Cao đẳng nghề Dầu khí,Giá trị hàng mua và dịch vụ cung cấp > Trường Cao đẳng nghề Dầu khí,Trường Cao đẳng nghề Dầu khí,166.868.979.504,71.273.080.600,166868979504.0,71273080600.0
Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,62.417.054.886,47.932.661.344,62417054886.0,47932661344.0
Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Giá trị hàng mua và dịch vụ cung cấp > Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,27.359.794.295,25.560.174.195,27359794295.0,25560174195.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp > Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,-,41.346.855.556,,41346855556.0
,,,19.926.256.447.762,18.562.005.518.519,19926256447762.0,18562005518519.0
