row_label_raw,row_label_full,CHỈ TIÊU,Mã số,2015,2014(Trình bày lại),numeric__Mã số,numeric__2015,numeric__2014(Trình bày lại)
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","1. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,(40.111.223.937),-,32.0,-40111223937.0,
2. Tiền thu từ đi vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,802.293.050.005,2.529.946.911.712,33.0,802293050005.0,2529946911712.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(2.416.933.950.149),(2.032.780.397.595),34.0,-2416933950149.0,-2032780397595.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(5.519.637.734.500),(8.123.284.760.000),36.0,-5519637734500.0,-8123284760000.0
5. Chuyển tiền quyết toán lượng khí trên bao tiêu,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 5. Chuyển tiền quyết toán lượng khí trên bao tiêu,5. Chuyển tiền quyết toán lượng khí trên bao tiêu,,-,(582.827.540.832),,,-582827540832.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(7.174.389.858.581),(8.208.945.786.715),40.0,-7174389858581.0,-8208945786715.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(5.145.285.681.999),4.394.252.459.658,50.0,-5145285681999.0,4394252459658.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,20.982.219.958.289,16.587.405.989.436,60.0,20982219958289.0,16587405989436.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(159.186.783),561.509.195,61.0,-159186783.0,561509195.0
Tiền và tương đương tiền cuối năm(70=50+60+61),III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm(70=50+60+61),Tiền và tương đương tiền cuối năm(70=50+60+61),70,15.836.775.089.507,20.982.219.958.289,70.0,15836775089507.0,20982219958289.0
