row_label_raw,row_label_full,col_0,2015,2014(Trình bày lại),numeric__2015,numeric__2014(Trình bày lại)
,,,VND,VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
"Các Công ty con, Công ty liên kết của Công ty","Doanh thu bán hàng và cung cấp dịch vụ > Các Công ty con, Công ty liên kết của Công ty","Các Công ty con, Công ty liên kết của Công ty",6.951.877.462.778,10.517.362.458.605,6951877462778.0,10517362458605.0
Công ty Cổ phần Kinh doanh Khí thấp áp Dầu khí Việt Nam,Doanh thu bán hàng và cung cấp dịch vụ > Công ty Cổ phần Kinh doanh Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Kinh doanh Khí thấp áp Dầu khí Việt Nam,4.265.316.170.068,6.548.304.597.983,4265316170068.0,6548304597983.0
Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,Doanh thu bán hàng và cung cấp dịch vụ > Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,1.668.189.376.494,2.264.732.621.932,1668189376494.0,2264732621932.0
Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,Doanh thu bán hàng và cung cấp dịch vụ > Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,568.239.777.681,705.310.151.087,568239777681.0,705310151087.0
Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,Doanh thu bán hàng và cung cấp dịch vụ > Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,450.132.138.535,999.015.087.603,450132138535.0,999015087603.0
Các bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ > Các bên liên quan khác,Các bên liên quan khác,13.536.666.813.468,13.624.979.696.190,13536666813468.0,13624979696190.0
Tổng Công ty Điện lực Dầu khí Việt Nam,Doanh thu bán hàng và cung cấp dịch vụ > Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,7.569.266.117.067,6.229.863.044.328,7569266117067.0,6229863044328.0
Co quan Tập đoàn Dầu khí Quốc gia Việt Nam,Doanh thu bán hàng và cung cấp dịch vụ > Co quan Tập đoàn Dầu khí Quốc gia Việt Nam,Co quan Tập đoàn Dầu khí Quốc gia Việt Nam,3.085.919.532.378,2.903.916.734.072,3085919532378.0,2903916734072.0
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Doanh thu bán hàng và cung cấp dịch vụ > Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,1.848.092.581.853,3.001.368.704.575,1848092581853.0,3001368704575.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Doanh thu bán hàng và cung cấp dịch vụ > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,400.473.729.711,303.469.755.097,400473729711.0,303469755097.0
Tổng Công ty Dầu Việt Nam,Doanh thu bán hàng và cung cấp dịch vụ > Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,368.496.440.254,824.505.367.459,368496440254.0,824505367459.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Doanh thu bán hàng và cung cấp dịch vụ > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,233.140.908.792,327.752.625.053,233140908792.0,327752625053.0
Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Doanh thu bán hàng và cung cấp dịch vụ > Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Công ty TNHH MTV Lộc hóa dầu Bình Sơn,17.227.838.244,17.349.773.783,17227838244.0,17349773783.0
Tổng công ty Tư vấn thiết kế Dầu khí - CTCP,Doanh thu bán hàng và cung cấp dịch vụ > Tổng công ty Tư vấn thiết kế Dầu khí - CTCP,Tổng công ty Tư vấn thiết kế Dầu khí - CTCP,14.049.665.169,16.753.691.823,14049665169.0,16753691823.0
,,,20.488.544.276.246,24.142.342.154.795,20488544276246.0,24142342154795.0
