row_label_raw,row_label_full,Chỉ tiêu,31/12/2014 > Giá trị,31/12/2014 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,31/12/2015 > Giá trị,31/12/2015 > Số có khả năng trả nợ,numeric__31/12/2014 > Giá trị,numeric__31/12/2014 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__31/12/2015 > Giá trị,numeric__31/12/2015 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay bằng USD,Vay bằng USD,Vay bằng USD,4.007.918.029.797,4.007.918.029.797,314.213.162.601,1.044.431.192.398,3.277.700.000.000,3.277.700.000.000,4007918029797.0,4007918029797.0,314213162601.0,1044431192398.0,3277700000000.0,3277700000000.0
Vay bằng VND,Vay bằng VND,Vay bằng VND,2.143.244.221.248,2.143.244.221.248,645.178.050.005,1.372.502.757.751,1.415.919.513.502,1.415.919.513.502,2143244221248.0,2143244221248.0,645178050005.0,1372502757751.0,1415919513502.0,1415919513502.0
Cộng,Cộng,Cộng,6.151.162.251.045,6.151.162.251.045,959.391.212.606,2.416.933.950.149,4.693.619.513.502,4.693.619.513.502,6151162251045.0,6151162251045.0,959391212606.0,2416933950149.0,4693619513502.0,4693619513502.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Số phải trả trong vòng 12 tháng,Trong đó: > Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,1.412.515.146.638,,,,,478.048.400.334,1412515146638.0,,,,,478048400334.0
Số phải trả sau 12 tháng,Trong đó: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,4.738.647.104.407,,,,,4.215.571.113.168,4738647104407.0,,,,,4215571113168.0
