row_label_raw,row_label_full,col_0,Quyènsử dụng đấtVND,Phần mềmmáy tínhVND,Tổng cộngVND,numeric__Quyènsử dụng đấtVND,numeric__Phần mềmmáy tínhVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,244.583.078.000,56.259.097.696,300.842.175.696,244583078000.0,56259097696.0,300842175696.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,9.380.395.154,9.380.395.154,,9380395154.0,9380395154.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,244.583.078.000,65.639.492.850,310.222.570.850,244583078000.0,65639492850.0,310222570850.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,2.636.826.385,31.070.986.869,33.707.813.254,2636826385.0,31070986869.0,33707813254.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,417.061.560,10.318.090.480,10.735.152.040,417061560.0,10318090480.0,10735152040.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.053.887.945,41.389.077.349,44.442.965.294,3053887945.0,41389077349.0,44442965294.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,241.529.190.055,24.250.415.501,265.779.605.556,241529190055.0,24250415501.0,265779605556.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,241.946.251.615,25.188.110.827,267.134.362.442,241946251615.0,25188110827.0,267134362442.0
