row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,31.343.248.689.351,30.160.859.029.425,100.0,,31343248689351.0,30160859029425.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,15.836.775.089.507,20.982.219.958.289,110.0,5.0,15836775089507.0,20982219958289.0
1. Tiền,1. Tiền,1. Tiền,111,,1.517.972.794.353,3.597.219.958.289,111.0,,1517972794353.0,3597219958289.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,14.318.802.295.154,17.385.000.000.000,112.0,,14318802295154.0,17385000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,6.070.320.000.000,1.643.875.000.000,120.0,6.0,6070320000000.0,1643875000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,6.070.320.000.000,1.643.875.000.000,123.0,,6070320000000.0,1643875000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,8.190.927.890.839,6.040.676.177.719,130.0,,8190927890839.0,6040676177719.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,3.353.706.171.087,4.963.395.713.241,131.0,7.0,3353706171087.0,4963395713241.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,854.538.838.422,779.581.233.606,132.0,8.0,854538838422.0,779581233606.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,4.034.475.985.935,348.706.498.967,136.0,9.0,4034475985935.0,348706498967.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(51.793.104.605),(51.007.268.095),137.0,10.0,-51793104605.0,-51007268095.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,853.724.405.494,1.118.578.019.612,140.0,11.0,853724405494.0,1118578019612.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,933.340.923.807,1.181.006.881.477,141.0,,933340923807.0,1181006881477.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(79.616.518.313),(62.428.861.865),149.0,,-79616518313.0,-62428861865.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,391.501.303.511,375.509.873.805,150.0,,391501303511.0,375509873805.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,78.324.210.108,110.896.930.152,151.0,12.0,78324210108.0,110896930152.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,249.235.778.950,227.848.809.367,152.0,,249235778950.0,227848809367.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,63.941.314.453,36.764.134.286,153.0,17.0,63941314453.0,36764134286.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,20.745.655.849.414,18.815.194.790.855,200.0,,20745655849414.0,18815194790855.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.273.650.000,692.650.000,210.0,,1273650000.0,692650000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,,1.273.650.000,692.650.000,216.0,,1273650000.0,692650000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,11.087.071.813.522,11.798.128.471.950,220.0,,11087071813522.0,11798128471950.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,10.821.292.207.966,11.530.994.109.508,221.0,13.0,10821292207966.0,11530994109508.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,31.534.984.797.161,29.765.904.430.497,222.0,,31534984797161.0,29765904430497.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(20.713.692.589.195),(18.234.910.320.989),223.0,,-20713692589195.0,-18234910320989.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,265.779.605.556,267.134.362.442,227.0,14.0,265779605556.0,267134362442.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,310.222.570.850,300.842.175.696,228.0,,310222570850.0,300842175696.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(44.442.965.294),(33.707.813.254),229.0,,-44442965294.0,-33707813254.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,6.606.946.880.836,3.920.849.315.339,240.0,,6606946880836.0,3920849315339.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,15,6.606.946.880.836,3.920.849.315.339,242.0,15.0,6606946880836.0,3920849315339.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,6,3.012.747.367.641,3.061.750.993.947,250.0,6.0,3012747367641.0,3061750993947.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,3.168.708.749.121,3.225.646.219.733,251.0,,3168708749121.0,3225646219733.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,48.240.000.000,48.240.000.000,252.0,,48240000000.0,48240000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(204.201.381.480),(212.135.225.786),254.0,,-204201381480.0,-212135225786.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,37.616.137.415,33.773.359.619,260.0,,37616137415.0,33773359619.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,37.616.137.415,33.773.359.619,261.0,12.0,37616137415.0,33773359619.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,52.088.904.538.765,48.976.053.820.280,270.0,,52088904538765.0,48976053820280.0
