row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Mối quan hệ,numeric__Hoạt động chính,numeric__Mối quan hệ
Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Nam,Phân phối khí hóa lòng,Công ty con,,
Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,Công ty Cổ phần Kinh doanh Khí hóa lòng Miền Bắc,Phân phối khí hóa lòng,Công ty con,,
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Phân phối khí thấp áp,Công ty con,,
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Kinh doanh dịch vụ bọc ống,Công ty con,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Sản xuất ống thép,Công ty con,,
Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Kinh doanh khí,Công ty liên kết,,
