row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
"Dự thu doanh thu kinh doanh khí tháng 11, 12 năm 2015","Dự thu doanh thu kinh doanh khí tháng 11, 12 năm 2015","Dự thu doanh thu kinh doanh khí tháng 11, 12 năm 2015",3.659.715.842.656,-,3659715842656.0,
"Dự thu doanh thu vận chuyển Condensate tháng 11, 12 năm 2015","Dự thu doanh thu vận chuyển Condensate tháng 11, 12 năm 2015","Dự thu doanh thu vận chuyển Condensate tháng 11, 12 năm 2015",5.333.528.742,-,5333528742.0,
Phải thu về thoái vốn cổ phiếu Seabank,Phải thu về thoái vốn cổ phiếu Seabank,Phải thu về thoái vốn cổ phiếu Seabank,83.638.401.486,-,83638401486.0,
"Ký cược, ký quỹ (i)","Ký cược, ký quỹ (i)","Ký cược, ký quỹ (i)",35.816.648.219,77.443.424.567,35816648219.0,77443424567.0
Khoản góp vốn theo hợp đồng hợp tác liên doanh thực hiện xây dựng đường ống Lô B - Ô Môn,Khoản góp vốn theo hợp đồng hợp tác liên doanh thực hiện xây dựng đường ống Lô B - Ô Môn,Khoản góp vốn theo hợp đồng hợp tác liên doanh thực hiện xây dựng đường ống Lô B - Ô Môn,54.356.678.856,54.190.675.035,54356678856.0,54190675035.0
Công ty Cổ phần Địa Óc Phú Long,Công ty Cổ phần Địa Óc Phú Long,Công ty Cổ phần Địa Óc Phú Long,13.843.599.844,13.843.599.844,13843599844.0,13843599844.0
Phải thu Công ty Cổ phần Phát triển Đô thị Dầu khí liên quan đến hợp đồng xây dựng khu văn phòng cho thuê tại Bạc Liêu,Phải thu Công ty Cổ phần Phát triển Đô thị Dầu khí liên quan đến hợp đồng xây dựng khu văn phòng cho thuê tại Bạc Liêu,Phải thu Công ty Cổ phần Phát triển Đô thị Dầu khí liên quan đến hợp đồng xây dựng khu văn phòng cho thuê tại Bạc Liêu,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Phải thu cổ tức từ Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Phải thu cổ tức từ Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Phải thu cổ tức từ Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,-,45.450.000.000,,45450000000.0
Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,120.465.609.223,97.983.819.438,120465609223.0,97983819438.0
Phải thu về tạm ứng,Phải thu về tạm ứng,Phải thu về tạm ứng,3.588.190.163,1.421.439.283,3588190163.0,1421439283.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,7.717.486.746,8.373.540.800,7717486746.0,8373540800.0
,,,4.034.475.985.935,348.706.498.967,4034475985935.0,348706498967.0
Phải thu ngắn hạn khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh 36),Phải thu ngắn hạn khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh 36),Phải thu ngắn hạn khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh 36),1.102.077.925.018,103.088.333.332,1102077925018.0,103088333332.0
