row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,31/12/2015 > Giá gốcVND,31/12/2015 > Giá gốcVND_1,31/12/2015 > Giá trị ghi sốVND,31/12/2014 > Giá gốcVND,31/12/2014 > Giá gốcVND_1,31/12/2014 > Giá trị ghi sốVND,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Giá gốcVND_1,numeric__31/12/2015 > Giá trị ghi sốVND,numeric__31/12/2014 > Giá gốcVND,numeric__31/12/2014 > Giá gốcVND_1,numeric__31/12/2014 > Giá trị ghi sốVND
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,6.070.320.000.000,6.070.320.000.000,6.070.320.000.000,1.300.000.000.000,1.300.000.000.000,1.300.000.000.000,6070320000000.0,6070320000000.0,6070320000000.0,1300000000000.0,1300000000000.0,1300000000000.0
- Các khoản nằm giữ đến ngày đáo hạn khác,- Các khoản nằm giữ đến ngày đáo hạn khác,- Các khoản nằm giữ đến ngày đáo hạn khác,-,-,-,356.600.283.780,356.600.283.780,343.875.000.000,,,,356600283780.0,356600283780.0,343875000000.0
,,,6.070.320.000.000,6.070.320.000.000,6.070.320.000.000,1.656.600.283.780,1.656.600.283.780,1.643.875.000.000,6070320000000.0,6070320000000.0,6070320000000.0,1656600283780.0,1656600283780.0,1643875000000.0
,,,31/12/2015,31/12/2015,31/12/2015,31/12/2014,31/12/2014,31/12/2014,,,,,,
,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,3.168.708.749.121,(204.201.381.480),4.008.736.652.680,3.225.646.219.733,(212.135.225.786),3.757.464.795.614,3168708749121.0,-204201381480.0,4008736652680.0,3225646219733.0,-212135225786.0,3757464795614.0
Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,226.460.000.000,-,308.552.633.060,226.460.000.000,-,360.460.000.000,226460000000.0,,308552633060.0,226460000000.0,,360460000000.0
Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Bắc,Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Bắc,Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Bắc,118.364.908.900,-,80.567.711.100,118.364.908.900,-,93.498.331.400,118364908900.0,,80567711100.0,118364908900.0,,93498331400.0
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,837.605.785.000,-,1.645.290.000.000,837.605.785.000,-,930.210.000.000,837605785000.0,,1645290000000.0,837605785000.0,,930210000000.0
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,127.902.365.221,-,320.152.000.000,184.839.835.833,-,727.056.000.000,127902365221.0,,320152000000.0,184839835833.0,,727056000000.0
Công ty Cổ phần Sản xuất Ống thép Dầu khí Việt Nam (i),Công ty Cổ phần Sản xuất Ống thép Dầu khí Việt Nam (i),Công ty Cổ phần Sản xuất Ống thép Dầu khí Việt Nam (i),1.858.375.690.000,(204.201.381.480),1.654.174.308.520,1.858.375.690.000,(212.135.225.786),1.646.240.464.214,1858375690000.0,-204201381480.0,1654174308520.0,1858375690000.0,-212135225786.0,1646240464214.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,48.240.000.000,-,33.500.000.000,48.240.000.000,-,42.880.000.000,48240000000.0,,33500000000.0,48240000000.0,,42880000000.0
Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,48.240.000.000,,33.500.000.000,48.240.000.000,-,42.880.000.000,48240000000.0,,33500000000.0,48240000000.0,,42880000000.0
