row_label_raw,row_label_full,Theo QD 15/2006/QD-BTC > Tên chỉ tiêu,Theo QD 15/2006/QD-BTC > Mã số,Theo QD 15/2006/QD-BTC > Năm 2014(VND),Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,Theo TT 200/2014/TT-BTC > Mã số,Thay đổi > Năm 2014(VND),numeric__Theo QD 15/2006/QD-BTC > Mã số,numeric__Theo QD 15/2006/QD-BTC > Năm 2014(VND),numeric__Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo TT 200/2014/TT-BTC > Mã số,numeric__Thay đổi > Năm 2014(VND)
B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,64.980.468.458.934,1. Doanh thu bán hàng và cung cấp dịch vụ,01,64.880.600.590.420 Trình bày lại,1.0,64980468458934.0,,1.0,
2. Các khoản giảm trừ doanh thu,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,81.611.038.845,2. Các khoản giảm trừ doanh thu,02,- Trình bày lại,2.0,81611038845.0,,2.0,
3. Giá vốn hàng bán và dịch vụ cung cấp,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,11,46.788.709.837.228,3. Giá vốn hàng bán và dịch vụ cung cấp,11,46.775.488.097.290 Trình bày lại,11.0,46788709837228.0,,11.0,
4. Doanh thu hoạt động tài chính,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 4. Doanh thu hoạt động tài chính,4. Doanh thu hoạt động tài chính,21,1.249.110.075.230,4. Doanh thu hoạt động tài chính,21,1.247.573.305.523 Trình bày lại,21.0,1249110075230.0,,21.0,
5. Chi phí tài chính,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 5. Chi phí tài chính,5. Chi phí tài chính,22,287.678.309.232,5. Chi phí tài chính,22,286.141.539.525 Trình bày lại,22.0,287678309232.0,,22.0,
6. Chi phí quản lý doanh nghiệp,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 6. Chi phí quản lý doanh nghiệp,6. Chi phí quản lý doanh nghiệp,25,879.943.970.359,6. Chi phí quản lý doanh nghiệp,26,886.443.928.124 Trình bày lại,25.0,879943970359.0,,26.0,
7. Chi phí thuế thu nhập doanh nghiệp hiện hành,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 7. Chi phí thuế thu nhập doanh nghiệp hiện hành,7. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,3.482.123.063.530,7. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,3.479.585.353.081 Trình bày lại,51.0,3482123063530.0,,51.0,
8. Lợi nhuận sau thuế thu nhập doanh nghiệp,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 8. Lợi nhuận sau thuế thu nhập doanh nghiệp,8. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,14.303.292.801.988,8. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,14.294.295.464.941 Trình bày lại,60.0,14303292801988.0,,60.0,
9. Lãi cơ bản trên cổ phiếu,B. BẢO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH > 9. Lãi cơ bản trên cổ phiếu,9. Lãi cơ bản trên cổ phiếu,70,7.236,9. Lãi cơ bản trên cổ phiếu,70,7.091 Trình bày lại,70.0,7236.0,,70.0,
