row_label_raw,row_label_full,Theo QD 15/2006/QD-BTC > Tên chỉ tiêu,Theo QD 15/2006/QD-BTC > Mã số,Theo QD 15/2006/QD-BTC > 31/12/2014(VND),Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,Theo TT 200/2014/TT-BTC > Mã số,Thay đổi > 31/12/2014(VND),numeric__Theo QD 15/2006/QD-BTC > Mã số,numeric__Theo QD 15/2006/QD-BTC > 31/12/2014(VND),numeric__Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo TT 200/2014/TT-BTC > Mã số,numeric__Thay đổi > 31/12/2014(VND)
A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,,,I. Tài sản,,,,,,,
1. Đầu tư ngắn hạn,I. Tài sản > 1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,121,1.656.600.283.780,Không có chi tiêu tương ứng,,,121.0,1656600283780.0,,,
2. Dự phòng giảm giá đầu tư tài chính ngắn hạn,I. Tài sản > 2. Dự phòng giảm giá đầu tư tài chính ngắn hạn,2. Dự phòng giảm giá đầu tư tài chính ngắn hạn,129,(12.725.283.780),Không có chi tiêu tương ứng,,,129.0,-12725283780.0,,,
Không có chi tiêu tương ứng,I. Tài sản > Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,1. Đầu tư nắm giữ đến ngày đáo hạn,123,1.643.875.000.000 Trình bày lại,,,,123.0,
3. Phải thu khách hàng,I. Tài sản > 3. Phải thu khách hàng,3. Phải thu khách hàng,131,4.963.395.713.241,2. Phải thu ngắn hạn của khách hàng,131,4.963.395.713.241 Đối tên,131.0,4963395713241.0,,131.0,
4. Trà trước cho người bán,I. Tài sản > 4. Trà trước cho người bán,4. Trà trước cho người bán,132,779.581.233.606,3. Trà trước cho người bán ngắn hạn,132,779.581.233.606 Đối tên,132.0,779581233606.0,,132.0,
5. Các khoản phải thu khác,I. Tài sản > 5. Các khoản phải thu khác,5. Các khoản phải thu khác,135,269.841.635.117,4. Phải thu ngắn hạn khác,136,348.706.498.967 Trình bày lại và đối tên,135.0,269841635117.0,,136.0,
6. Tài sản ngắn hạn khác,I. Tài sản > 6. Tài sản ngắn hạn khác,6. Tài sản ngắn hạn khác,158,78.864.863.850,5. Tài sản ngắn hạn khác,155,- Trình bày lại,158.0,78864863850.0,,155.0,
7. Phải thu dài hạn khác,I. Tài sản > 7. Phải thu dài hạn khác,7. Phải thu dài hạn khác,218,-,6. Phải thu dài hạn khác,216,692.650.000 Trình bày lại,218.0,,,216.0,
8. Đầu tư vào công ty liên kết,I. Tài sản > 8. Đầu tư vào công ty liên kết,8. Đầu tư vào công ty liên kết,252,48.240.000.000,"7. Đầu tư vào công ty liên doanh, liên kết",252,48.240.000.000 Đối tên,252.0,48240000000.0,,252.0,
9. Dự phòng giảm giá đầu tư tài chính dài hạn,I. Tài sản > 9. Dự phòng giảm giá đầu tư tài chính dài hạn,9. Dự phòng giảm giá đầu tư tài chính dài hạn,259,(212.135.225.786),8. Dự phòng đầu tư tài chính dài hạn,254,(212.135.225.786) Đối tên,259.0,-212135225786.0,,254.0,
10. Tài sản dài hạn khác,I. Tài sản > 10. Tài sản dài hạn khác,10. Tài sản dài hạn khác,268,692.650.000,9. Tài sản dài hạn khác,268,- Trình bày lại,268.0,692650000.0,,268.0,
II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,,,II. Nguồn vốn,,,,,,,
1. Phải trả người bán,II. Nguồn vốn > 1. Phải trả người bán,1. Phải trả người bán,312,887.539.403.259,1. Phải trả người bán ngắn hạn,311,887.539.403.259 Đối tên,312.0,887539403259.0,,311.0,
2. Người mua trả tiền trước,II. Nguồn vốn > 2. Người mua trả tiền trước,2. Người mua trả tiền trước,313,17.129.805.604,2. Người mua trả tiền trước ngắn hạn,312,17.129.805.604 Đối tên,313.0,17129805604.0,,312.0,
3. Chi phí phải trả,II. Nguồn vốn > 3. Chi phí phải trả,3. Chi phí phải trả,316,1.470.161.067.949,3. Chi phí phải trả ngắn hạn,315,1.144.325.270.240 Trình bày lại và đối tên,316.0,1470161067949.0,,315.0,
4. Phải trả nội bộ,II. Nguồn vốn > 4. Phải trả nội bộ,4. Phải trả nội bộ,317,77.135.056.337,4. Phải trả nội bộ ngắn hạn,316,- Trình bày lại,317.0,77135056337.0,,316.0,
"5. Các khoản phải trả, phải nộp ngắn hạn khác","II. Nguồn vốn > 5. Các khoản phải trả, phải nộp ngắn hạn khác","5. Các khoản phải trả, phải nộp ngắn hạn khác",319,2.606.298.632.312,5. Phải trả ngắn hạn khác,319,2.683.433.688.649 Trình bày lại và đối tên,319.0,2606298632312.0,,319.0,
Không có chi tiêu tương ứng,II. Nguồn vốn > Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,6. Doanh thu chưa thực hiện ngắn hạn,318,35.424.063.091 Trình bày lại và đối tên,,,,318.0,
6. Dự phòng phải trả ngắn hạn,II. Nguồn vốn > 6. Dự phòng phải trả ngắn hạn,6. Dự phòng phải trả ngắn hạn,320,-,7. Dự phòng phải trả ngắn hạn,321,51.976.730.257 Trình bày lại,320.0,,,321.0,
7. Dự phòng phải trả dài hạn,II. Nguồn vốn > 7. Dự phòng phải trả dài hạn,7. Dự phòng phải trả dài hạn,337,-,8. Dự phòng phải trả dài hạn,342,273.859.067.452 Trình bày lại,337.0,,,342.0,
8. Doanh thu chưa thực hiện,II. Nguồn vốn > 8. Doanh thu chưa thực hiện,8. Doanh thu chưa thực hiện,338,35.424.063.091,9. Doanh thu chưa thực hiện dài hạn,336,- Trình bày lại và đối tên,338.0,35424063091.0,,336.0,
9. Vốn đầu tư của chủ sở hữu,II. Nguồn vốn > 9. Vốn đầu tư của chủ sở hữu,9. Vốn đầu tư của chủ sở hữu,411,18.950.000.000.000,10. Vốn góp của chủ sở hữu,411,18.950.000.000.000 Đối tên,411.0,18950000000000.0,,411.0,
Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,11. Cổ phiếu phổ thông có quyền biểu quyết,411a,18.950.000.000.000 Trình bày lại và đối tên,,,,,
10. Quỹ đầu tư phát triển,Không có chi tiêu tương ứng > 10. Quỹ đầu tư phát triển,10. Quỹ đầu tư phát triển,417,7.254.947.331.813,12. Quỹ đầu tư phát triển,418,11.266.595.401.157 Trình bày lại,417.0,7254947331813.0,,418.0,
11. Quỹ dự phòng tài chính,Không có chi tiêu tương ứng > 11. Quỹ dự phòng tài chính,11. Quỹ dự phòng tài chính,418,4.011.648.069.344,Không có chi tiêu tương ứng,,Trình bày lại và đối tên,418.0,4011648069344.0,,,
