row_label_raw,row_label_full,31/12/2015,Dưới 1 năm > VND,Từ 1-5 năm > VND,Sau 5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1-5 năm > VND,numeric__Sau 5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,15.836.775.089.507,-,-,15.836.775.089.507,15836775089507.0,,,15836775089507.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,6.070.320.000.000,-,-,6.070.320.000.000,6070320000000.0,,,6070320000000.0
Phải thu ngắn hạn khách hàng và phải thu ngắn hạn khác,Phải thu ngắn hạn khách hàng và phải thu ngắn hạn khác,Phải thu ngắn hạn khách hàng và phải thu ngắn hạn khác,7.336.329.975.494,-,-,7.336.329.975.494,7336329975494.0,,,7336329975494.0
Tổng cộng,Tổng cộng,Tổng cộng,29.243.425.065.001,-,-,29.243.425.065.001,29243425065001.0,,,29243425065001.0
31/12/2015,31/12/2015,31/12/2015,Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
31/12/2015,31/12/2015,31/12/2015,VND,VND,VND,VND,,,,
Các khoản vay và nợ thuê tài chính,31/12/2015 > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,478.048.400.334,4.012.044.816.754,203.526.296.414,4.693.619.513.502,478048400334.0,4012044816754.0,203526296414.0,4693619513502.0
Phải trả người bán ngắn hạn và phải trả khác,31/12/2015 > Phải trả người bán ngắn hạn và phải trả khác,Phải trả người bán ngắn hạn và phải trả khác,1.849.271.661.017,11.977.161.652,-,1.861.248.822.669,1849271661017.0,11977161652.0,,1861248822669.0
Chi phí phải trả ngắn hạn,31/12/2015 > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,3.745.729.891.694,-,-,3.745.729.891.694,3745729891694.0,,,3745729891694.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,6.073.049.953.045,4.024.021.978.406,203.526.296.414,10.300.598.227.865,6073049953045.0,4024021978406.0,203526296414.0,10300598227865.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,23.170.375.111.956,(4.024.021.978.406),(203.526.296.414),18.942.826.837.136,23170375111956.0,-4024021978406.0,-203526296414.0,18942826837136.0
