row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014(Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,57.474.075.835.727,64.880.600.590.420,1.0,24.0,57474075835727.0,64880600590420.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch dịch vụ (10=01-02),10,,57.474.075.835.727,64.880.600.590.420,10.0,,57474075835727.0,64880600590420.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,46.274.846.064.608,46.775.488.097.290,11.0,25.0,46274846064608.0,46775488097290.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,11.199.229.771.119,18.105.112.493.130,20.0,,11199229771119.0,18105112493130.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,1.289.498.045.218,1.247.573.305.523,21.0,27.0,1289498045218.0,1247573305523.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,28,516.923.207.825,286.141.539.525,22.0,28.0,516923207825.0,286141539525.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,119.506.794.356,261.819.875.184,23.0,,119506794356.0,261819875184.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,29,538.474.446.611,396.906.009.630,25.0,29.0,538474446611.0,396906009630.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,29,549.630.330.529,886.443.928.124,26.0,29.0,549630330529.0,886443928124.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,10.883.699.831.372,17.783.194.321.374,30.0,,10883699831372.0,17783194321374.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,30,85.363.639.450,23.213.905.032,31.0,30.0,85363639450.0,23213905032.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,31,48.604.289.926,32.527.408.384,32.0,31.0,48604289926.0,32527408384.0
13. Lợi nhuận/(lỗ) khác (40=31-32),13. Lợi nhuận/(lỗ) khác (40=31-32),13. Lợi nhuận/(lỗ) khác (40=31-32),40,,36.759.349.524,(9.313.503.352),40.0,,36759349524.0,-9313503352.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,10.920.459.180.896,17.773.880.818.022,50.0,,10920459180896.0,17773880818022.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,2.200.332.046.441,3.479.585.353.081,51.0,32.0,2200332046441.0,3479585353081.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,8.720.127.134.455,14.294.295.464.941,60.0,,8720127134455.0,14294295464941.0
17. Lãi cơ bản trên cổ phiếu,17. Lãi cơ bản trên cổ phiếu,17. Lãi cơ bản trên cổ phiếu,70,33,,7.091,70.0,33.0,,7091.0
