row_label_raw,row_label_full,31/12/2014 (Trình bày lại),Dưới 1 năm > VND,Từ 1-5 năm > VND,Sau 5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1-5 năm > VND,numeric__Sau 5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,20.982.219.958.289,-,-,20.982.219.958.289,20982219958289.0,,,20982219958289.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.643.875.000.000,-,-,1.643.875.000.000,1643875000000.0,,,1643875000000.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,5.261.094.944.113,-,-,5.261.094.944.113,5261094944113.0,,,5261094944113.0
Tổng cộng,Tổng cộng,Tổng cộng,27.887.189.902.402,-,-,27.887.189.902.402,27887189902402.0,,,27887189902402.0
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),Dưới 1 năm,Từ 1-5 năm,Sau 5 năm,Tổng,,,,
31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),31/12/2014 (Trình bày lại),VND,VND,VND,VND,,,,
Các khoản vay và nợ thuê tài chính,31/12/2014 (Trình bày lại) > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,1.412.515.146.638,4.234.578.305.861,504.068.798.546,6.151.162.251.045,1412515146638.0,4234578305861.0,504068798546.0,6151162251045.0
Phải trả người bán và phải trả khác,31/12/2014 (Trình bày lại) > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,3.622.583.203.164,4.196.036.120,-,3.626.779.239.284,3622583203164.0,4196036120.0,,3626779239284.0
Chi phí phải trả ngắn hạn,31/12/2014 (Trình bày lại) > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,1.144.325.270.240,-,-,1.144.325.270.240,1144325270240.0,,,1144325270240.0
Tổng cộng,31/12/2014 (Trình bày lại) > Tổng cộng,Tổng cộng,6.179.423.620.042,4.238.774.341.981,504.068.798.546,10.922.266.760.569,6179423620042.0,4238774341981.0,504068798546.0,10922266760569.0
Chênh lệch thanh khoản thuần,31/12/2014 (Trình bày lại) > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,21.707.766.282.360,(4.238.774.341.981),(504.068.798.546),16.964.923.141.833,21707766282360.0,-4238774341981.0,-504068798546.0,16964923141833.0
