row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị VND,Phương tiện vận tải và thiết bị truyền dẫn VND,Thiết bị văn phòng VND,Khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải và thiết bị truyền dẫn VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,4.669.812.394.960,397.739.426.046,122.397.016.105,134.129.544.066,24.441.826.049.320,29.765.904.430.497,4669812394960.0,397739426046.0,122397016105.0,134129544066.0,24441826049320.0,29765904430497.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,7.077.172.340,-,1.396.414.319,-,1.490.209.179.534,1.498.682.766.193,7077172340.0,,1396414319.0,,1490209179534.0,1498682766193.0
Nâng cấp cải tạo,NGUYÊN GIÁ > Nâng cấp cải tạo,Nâng cấp cải tạo,-,-,-,-,123.818.894.106,123.818.894.106,,,,,123818894106.0,123818894106.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,5.540.827.865,39.429.549.780,591.000.000,90.938.737.420,9.012.799.084,145.512.914.149,5540827865.0,39429549780.0,591000000.0,90938737420.0,9012799084.0,145512914149.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(499.587.889),-,-,(5.303.375.778),-,(5.802.963.667),-499587889.0,,,-5303375778.0,,-5802963667.0
Điều chính theo quyết toán,NGUYÊN GIÁ > Điều chính theo quyết toán,Điều chính theo quyết toán,(1.288.247.334),-,-,-,(2.335.910.110),(3.624.157.444),-1288247334.0,,,,-2335910110.0,-3624157444.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,3.764.635.114,298.222.503.888,-,-,(301.987.139.002),-,3764635114.0,298222503888.0,,,-301987139002.0,
Khác,NGUYÊN GIÁ > Khác,Khác,27.000,-,-,(27.000),10.492.913.327,10.492.913.327,27000.0,,,-27000.0,10492913327.0,10492913327.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,4.684.407.222.056,735.391.479.714,124.384.430.424,219.764.878.708,25.771.036.786.259,31.534.984.797.161,4684407222056.0,735391479714.0,124384430424.0,219764878708.0,25771036786259.0,31534984797161.0
