row_label_raw,row_label_full,col_0,Giá trị hợp lý được xác định tạm thời VND,Điều chỉnh VND,Giá trị hợp lý được xác định lại VND,numeric__Giá trị hợp lý được xác định tạm thời VND,numeric__Điều chỉnh VND,numeric__Giá trị hợp lý được xác định lại VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.289.093.610.006,,1.289.093.610.006,1289093610006.0,,1289093610006.0
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,689.953.475.500,,689.953.475.500,689953475500.0,,689953475500.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,102.549.756.276,,102.549.756.276,102549756276.0,,102549756276.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,263.952.522.120,,263.952.522.120,263952522120.0,,263952522120.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,17.557.465.861,,17.557.465.861,17557465861.0,,17557465861.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,5.000.000,,5.000.000,5000000.0,,5000000.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,1.062.324.709.093,,1.062.324.709.093,1062324709093.0,,1062324709093.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,33.274.624.556,,33.274.624.556,33274624556.0,,33274624556.0
Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,236.853.426.944,,236.853.426.944,236853426944.0,,236853426944.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,322.646.602.633,,322.646.602.633,322646602633.0,,322646602633.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,8.977.954.624,,8.977.954.624,8977954624.0,,8977954624.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(288.060.294.100),,(288.060.294.100),-288060294100.0,,-288060294100.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(177.326.047.360),,(177.326.047.360),-177326047360.0,,-177326047360.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(2.913.200.000),,(2.913.200.000),-2913200000.0,,-2913200000.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(1.042.808.724.476),,(1.042.808.724.476),-1042808724476.0,,-1042808724476.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,2.516.080.881.677,,2.516.080.881.677,2516080881677.0,,2516080881677.0
Tài sản thuần nhận được (75%),Tài sản thuần nhận được (75%),Tài sản thuần nhận được (75%),1.887.060.661.257,,1.887.060.661.257,1887060661257.0,,1887060661257.0
Lợi thế thương mại (Thuyết minh V.13),Lợi thế thương mại (Thuyết minh V.13),Lợi thế thương mại (Thuyết minh V.13),1.573.025.317.423,300.636.476.590,1.873.661.794.013,1573025317423.0,300636476590.0,1873661794013.0
Khoản thanh toán cho giao dịch mua,Khoản thanh toán cho giao dịch mua,Khoản thanh toán cho giao dịch mua,3.460.085.978.680,300.636.476.590,3.760.722.455.270,3460085978680.0,300636476590.0,3760722455270.0
Lợi nhuận được chia từ GTN khi còn là công ty liên kết,Lợi nhuận được chia từ GTN khi còn là công ty liên kết,Lợi nhuận được chia từ GTN khi còn là công ty liên kết,(12.754.033.843),,(12.754.033.843),-12754033843.0,,-12754033843.0
Lợi nhuận do đánh giá lại khoản đầu tư vào GTN khi còn là công ty liên kết,Lợi nhuận do đánh giá lại khoản đầu tư vào GTN khi còn là công ty liên kết,Lợi nhuận do đánh giá lại khoản đầu tư vào GTN khi còn là công ty liên kết,,(300.636.476.590),(300.636.476.590),,-300636476590.0,-300636476590.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,(1.289.093.610.006),,(1.289.093.610.006),-1289093610006.0,,-1289093610006.0
Khoản tiền thuần chi ra,Khoản tiền thuần chi ra,Khoản tiền thuần chi ra,2.158.238.334.831,,2.158.238.334.831,2158238334831.0,,2158238334831.0
