row_label_raw,row_label_full,Bên cho vay > Ngân hàng HSBC Hoa Kỳ,Thuyết minh > (i) > (ii),Loại tiền > USD,Năm đáo hạn > 2022,31/12/2020 VND > 117.351.000.000 > 70.735.156.050,1/1/2020 VND > 138.720.000.000 > -,numeric__Thuyết minh > (i) > (ii),numeric__Loại tiền > USD,numeric__Năm đáo hạn > 2022,numeric__31/12/2020 VND > 117.351.000.000 > 70.735.156.050,numeric__1/1/2020 VND > 138.720.000.000 > -
Các cá nhân,Các cá nhân,Các cá nhân,(ii),VND,2039,44.592.834,5.080.982.893,,,2039.0,44592834.0,5080982893.0
,,,,,,188.130.748.884,143.800.982.893,,,,188130748884.0,143800982893.0
