row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Thương hiệu VND,Vùng nguyên liệu VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Thương hiệu VND,numeric__Vùng nguyên liệu VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,683.056.767.164,276.413.594.392,164.964.058.635,123.060.162.544,50.170.400.000,1.297.664.982.735,683056767164.0,276413594392.0,164964058635.0,123060162544.0,50170400000.0,1297664982735.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,41.001.064.629,-,-,2.032.483.952,-,43.033.548.581,41001064629.0,,,2032483952.0,,43033548581.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,72.900.000,-,72.900.000,,,,72900000.0,,72900000.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,-,-,-,(878.578.540),-,(878.578.540),,,,-878578540.0,,-878578540.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(1.013.618.434),-,-,(11.550.075),(238.700.000),(1.263.868.509),-1013618434.0,,,-11550075.0,-238700000.0,-1263868509.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,723.044.213.359,276.413.594.392,164.964.058.635,124.275.417.881,49.931.700.000,1.338.628.984.267,723044213359.0,276413594392.0,164964058635.0,124275417881.0,49931700000.0,1338628984267.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,18.541.632.958,-,-,95.506.351.675,33.986.400.000,148.034.384.633,18541632958.0,,,95506351675.0,33986400000.0,148034384633.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.806.906.273,16.259.623.199,10.997.603.909,12.076.286.581,-,55.140.419.962,15806906273.0,16259623199.0,10997603909.0,12076286581.0,,55140419962.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,4.860.000,-,4.860.000,,,,4860000.0,,4860000.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,-,-,-,(878.578.540),-,(878.578.540),,,,-878578540.0,,-878578540.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(11.390.410),(161.700.000),(173.090.410),,,,-11390410.0,-161700000.0,-173090410.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,34.348.539.231,16.259.623.199,10.997.603.909,106.697.529.306,33.824.700.000,202.127.995.645,34348539231.0,16259623199.0,10997603909.0,106697529306.0,33824700000.0,202127995645.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,664.515.134.206,276.413.594.392,164.964.058.635,27.553.810.869,16.184.000.000,1.149.630.598.102,664515134206.0,276413594392.0,164964058635.0,27553810869.0,16184000000.0,1149630598102.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,688.695.674.128,260.153.971.193,153.966.454.726,17.577.888.575,16.107.000.000,1.136.500.988.622,688695674128.0,260153971193.0,153966454726.0,17577888575.0,16107000000.0,1136500988622.0
