row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.219.430.942.320,17.817.352.159.485,1.217.353.397.778,704.976.051.847,1.248.752.246.495,19.571.356.324,26.227.436.154.249,5219430942320.0,17817352159485.0,1217353397778.0,704976051847.0,1248752246495.0,19571356324.0,26227436154249.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,33.013.047.545,196.797.944.459,42.757.266.929,18.295.834.459,104.947.938.821,-,395.812.032.213,33013047545.0,196797944459.0,42757266929.0,18295834459.0,104947938821.0,,395812032213.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,335.888.641.343,284.339.430.419,7.361.649.946,3.401.332.394,-,-,630.991.054.102,335888641343.0,284339430419.0,7361649946.0,3401332394.0,,,630991054102.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,308.379.491.898,-,308.379.491.898,,,,,308379491898.0,,308379491898.0
Chuyển sang tài sản cố định vô hình,Nguyên giá > Chuyển sang tài sản cố định vô hình,Chuyển sang tài sản cố định vô hình,-,-,-,(72.900.000),-,-,(72.900.000),,,,-72900000.0,,,-72900000.0
Chuyển sang chi phí trả trước,Nguyên giá > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(6.834.814.390),(4.451.449.496),-,-,-,-,(11.286.263.886),-6834814390.0,-4451449496.0,,,,,-11286263886.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,2.689.734.274,7.265.054.614,1.166.996.508,(10.077.494.896),-,(1.044.290.500),-,2689734274.0,7265054614.0,1166996508.0,-10077494896.0,,-1044290500.0,
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(10.404.626.573),(72.508.321.220),(11.624.343.045),(59.187.436.693),(320.867.051.559),(11.648.942.680),(486.240.721.770),-10404626573.0,-72508321220.0,-11624343045.0,-59187436693.0,-320867051559.0,-11648942680.0,-486240721770.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,-,(20.918.860.787),-,(20.918.860.787),,,,,-20918860787.0,,-20918860787.0
