row_label_raw,row_label_full,col_0,31/12/2020 > % vốn sở hữu và quyền biểu quyết,31/12/2020 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/ giá gốc VND,31/12/2020 > Giá trị hợp lý VND,31/12/2020 > Dự phòng giảm giá VND,1/1/2020 > % vốn sở hữu và quyền biểu quyết,1/1/2020 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/ giá gốc VND,1/1/2020 > Giá trị hợp lý VND,1/1/2020 > Dự phòng giảm giá VND,numeric__31/12/2020 > % vốn sở hữu và quyền biểu quyết,numeric__31/12/2020 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/ giá gốc VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2020 > Dự phòng giảm giá VND,numeric__1/1/2020 > % vốn sở hữu và quyền biểu quyết,numeric__1/1/2020 > Giá trị ghi nhận theo phương pháp vốn chủ sở hữu/ giá gốc VND,numeric__1/1/2020 > Giá trị hợp lý VND,numeric__1/1/2020 > Dự phòng giảm giá VND
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,,,,,,,
• Miraka Holdings Limited,Đầu tư vào các công ty liên kết > • Miraka Holdings Limited,• Miraka Holdings Limited,"22,81%",359.933.689.425,(*),-,"22,81%",368.041.190.003,(*),-,0.2281,359933689425.0,,,0.2281,368041190003.0,,
• Công ty Cổ phần APIS,Đầu tư vào các công ty liên kết > • Công ty Cổ phần APIS,• Công ty Cổ phần APIS,"20,00%",30.674.569.203,(*),-,"20,00%",27.129.550.095,(*),-,0.2,30674569203.0,,,0.2,27129550095.0,,
• Công ty Cổ phần Chế biến Dừa Á Châu,Đầu tư vào các công ty liên kết > • Công ty Cổ phần Chế biến Dừa Á Châu,• Công ty Cổ phần Chế biến Dừa Á Châu,"25,00%",86.870.895.709,(*),-,"25,00%",83.857.374.574,(*),-,0.25,86870895709.0,,,0.25,83857374574.0,,
• Các công ty liên kết sở hữu gián tiếp thông qua Công ty Cổ phần GTNFoods,Đầu tư vào các công ty liên kết > • Các công ty liên kết sở hữu gián tiếp thông qua Công ty Cổ phần GTNFoods,• Các công ty liên kết sở hữu gián tiếp thông qua Công ty Cổ phần GTNFoods,,209.006.574.726,(*),-,,209.084.472.387,(*),-,,209006574726.0,,,,209084472387.0,,
,,,,686.485.729.063,,-,,688.112.587.059,,-,,686485729063.0,,,,688112587059.0,,
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
• Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > • Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,• Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,"14,71%",69.261.607.154,(*),-,"14,71%",69.261.607.154,(*),-,0.1471,69261607154.0,,,0.1471,69261607154.0,,
• Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > • Nhà thuốc – Phòng khám đa khoa An Khang,• Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
• Các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác > • Các đơn vị khác,• Các đơn vị khác,,32.362.691.927,(*),(14.969.115.668),,34.975.403.058,(*),(5.973.306.842),,32362691927.0,,-14969115668.0,,34975403058.0,,-5973306842.0
,,,,101.924.299.081,,(14.969.115.668),,104.537.010.212,,(5.973.306.842),,101924299081.0,,-14969115668.0,,104537010212.0,,-5973306842.0
,,,,788.410.028.144,,(14.969.115.668),,792.649.597.271,,(5.973.306.842),,788410028144.0,,-14969115668.0,,792649597271.0,,-5973306842.0
