row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,325.615.163.537,23.865.686.691,349.480.850.228,325615163537.0,23865686691.0,349480850228.0
Thuê trong năm,NGUYÊN GIÁ > Thuê trong năm,Thuê trong năm,55.796.714.873,2.623.907.407,58.420.622.280,55796714873.0,2623907407.0,58420622280.0
Mua lại tài sản cố địnhthuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố địnhthuê tài chính,Mua lại tài sản cố địnhthuê tài chính,(62.198.757.186),(9.896.788.180),(72.095.545.366),-62198757186.0,-9896788180.0,-72095545366.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,319.213.121.224,16.592.805.918,335.805.927.142,319213121224.0,16592805918.0,335805927142.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,31.342.321.083,9.086.224.342,40.428.545.425,31342321083.0,9086224342.0,40428545425.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,43.767.048.502,3.734.456.133,47.501.504.635,43767048502.0,3734456133.0,47501504635.0
Mua lại tài sản cố địnhthuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại tài sản cố địnhthuê tài chính,Mua lại tài sản cố địnhthuê tài chính,(33.520.509.280),(6.717.138.056),(40.237.647.336),-33520509280.0,-6717138056.0,-40237647336.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,41.588.860.305,6.103.542.419,47.692.402.724,41588860305.0,6103542419.0,47692402724.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,294.272.842.454,14.779.462.349,309.052.304.803,294272842454.0,14779462349.0,309052304803.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,277.624.260.919,10.489.263.499,288.113.524.418,277624260919.0,10489263499.0,288113524418.0
