row_label_raw,row_label_full,STT,Đơn vị bảo lãnh/tư vấn phát hành,Số cuối năm,Số đầu năm,numeric__Đơn vị bảo lãnh/tư vấn phát hành,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
1.,1.,1.,Quỹ Đầu tư và Đảm bảo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1.150.000.000.000,,1150000000000.0,1150000000000.0
2.,2.,2.,Công ty Cổ phần Chứng khoán VIX,-,600.000.000.000,,,600000000000.0
3.,3.,3.,Chi phí phát hành trái phiếu,(13.559.920.831),(20.896.904.989),,-13559920831.0,-20896904989.0
,,,Tổng cộng,1.136.440.079.169,1.729.103.095.011,,1136440079169.0,1729103095011.0
,,,Trong đó:,,,,,
,,,Trái phiếu dài hạn đến hạn trả,-,595.375.000.014,,,595375000014.0
,,,Trái phiếu dài hạn,1.136.440.079.169,1.133.728.094.997,,1136440079169.0,1133728094997.0
