row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cố phàn VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của cố đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cố phàn VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của cố đông không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,8.514.957.930.000,663.218.256.719,77.388.963.577,(2.057.231.617),230.042.773.392,2.546.226.493.501,8.966.321.768.626,20.996.098.954.198,8514957930000.0,663218256719.0,77388963577.0,-2057231617.0,230042773392.0,2546226493501.0,8966321768626.0,20996098954198.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,330.357.294.753,533.526.951.639,863.884.246.392,,,,,,330357294753.0,533526951639.0,863884246392.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,-,(790.382.514.066),(790.382.514.066),,,,,,,-790382514066.0,-790382514066.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,201.762.451.760,(201.762.451.760),-,-,,,,,201762451760.0,-201762451760.0,,
Mua thêm lợi ích từ cố đông không kiểm soát,Mua thêm lợi ích từ cố đông không kiểm soát,Mua thêm lợi ích từ cố đông không kiểm soát,-,-,-,-,-,(6.327.211.617),(95.716.465.699),(102.043.677.316),,,,,,-6327211617.0,-95716465699.0,-102043677316.0
Tăng vốn ở công ty con,Tăng vốn ở công ty con,Tăng vốn ở công ty con,-,-,-,-,-,-,309.005.000.000,309.005.000.000,,,,,,,309005000000.0,309005000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(50.093.572.650),(52.649.130.463),(102.742.703.113),,,,,,-50093572650.0,-52649130463.0,-102742703113.0
Thủ lao Hội đồng Quản trị,Thủ lao Hội đồng Quản trị,Thủ lao Hội đồng Quản trị,-,-,-,-,-,(1.635.757.053),(1.934.472.816),(3.570.229.869),,,,,,-1635757053.0,-1934472816.0,-3570229869.0
Chênh lệch tỷ giá phát sinh do chuyển đối báo cáo công ty con,Chênh lệch tỷ giá phát sinh do chuyển đối báo cáo công ty con,Chênh lệch tỷ giá phát sinh do chuyển đối báo cáo công ty con,-,-,-,6.152.186.256,-,-,3.560.536.201,9.712.722.457,,,,6152186256.0,,,3560536201.0,9712722457.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(436.335.041),(325.369.708),(761.704.749),,,,,,-436335041.0,-325369708.0,-761704749.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,8.514.957.930.000,663.218.256.719,77.388.963.577,4.094.954.639,431.805.225.152,2.616.328.460.133,8.871.406.303.714,21.179.200.093.934,8514957930000.0,663218256719.0,77388963577.0,4094954639.0,431805225152.0,2616328460133.0,8871406303714.0,21179200093934.0
