row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,33,34.060.209.909.943,30.296.407.854.092,,1.0,33.0,34060209909943.0,30296407854092.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,33,307.904.496.970,298.572.005.135,,2.0,33.0,307904496970.0,298572005135.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,33,33.752.305.412.973,29.997.835.848.957,,10.0,33.0,33752305412973.0,29997835848957.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,34,26.990.119.882.838,24.489.090.822.910,,11.0,34.0,26990119882838.0,24489090822910.0
5.,5.,5.,Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,6.762.185.530.135,5.508.745.026.047,,20.0,,6762185530135.0,5508745026047.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,36,1.500.290.822.832,449.714.920.814,,21.0,36.0,1500290822832.0,449714920814.0
7.,7.,7.,Chi phí tài chính,22,37,1.689.902.579.272,1.888.935.606.662,,22.0,37.0,1689902579272.0,1888935606662.0
,,,- Trong đó: Chi phí lãi vay,23,,1.077.046.187.606,1.378.991.490.271,,23.0,,1077046187606.0,1378991490271.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,18,37.000.292.212,60.800.608.825,,24.0,18.0,37000292212.0,60800608825.0
9.,9.,9.,Chi phí bán hàng,25,38,1.278.637.559.756,1.140.667.296.329,,25.0,38.0,1278637559756.0,1140667296329.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,38,1.750.292.537.425,1.574.517.688.723,,26.0,38.0,1750292537425.0,1574517688723.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,3.580.643.968.726,1.415.139.963.972,,30.0,,3580643968726.0,1415139963972.0
12.,12.,12.,Thu nhập khác,31,39,152.427.320.788,84.101.655.339,,31.0,39.0,152427320788.0,84101655339.0
13.,13.,13.,Chi phí khác,32,40,120.237.991.157,102.258.632.408,,32.0,40.0,120237991157.0,102258632408.0
14.,14.,14.,Lợi nhuận/(lỗ) khác (40=31-32),40,,32.189.329.631,(18.156.977.069),,40.0,,32189329631.0,-18156977069.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.612.833.298.357,1.396.982.986.903,,50.0,,3612833298357.0,1396982986903.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,41,953.319.064.018,616.994.350.665,,51.0,41.0,953319064018.0,616994350665.0
17.,17.,17.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,41,(9.816.234.355),(83.895.610.154),,52.0,41.0,-9816234355.0,-83895610154.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.669.330.468.694,863.884.246.392,,60.0,,2669330468694.0,863884246392.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,1.631.297.943.916,330.357.294.753,,61.0,,1631297943916.0,330357294753.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,1.038.032.524.778,533.526.951.639,,62.0,,1038032524778.0,533526951639.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,42,1.910,321,,70.0,42.0,1910.0,321.0
