row_label_raw,row_label_full,col_0,Nhà cửa và quyền sử dụng đất,Cơ sở hạ tầng và tài sản khác,Tổng,numeric__Nhà cửa và quyền sử dụng đất,numeric__Cơ sở hạ tầng và tài sản khác,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.061.870.225.317,10.702.363.289.350,12.764.233.514.667,2061870225317.0,10702363289350.0,12764233514667.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,16.192.092.275,1.222.719.955.212,1.238.912.047.487,16192092275.0,1222719955212.0,1238912047487.0
Điều chỉnh sang tài sản cố định hữu hình,NGUYÊN GIÁ > Điều chỉnh sang tài sản cố định hữu hình,Điều chỉnh sang tài sản cố định hữu hình,(8.906.750.562),(5.155.798.800),(14.062.549.362),-8906750562.0,-5155798800.0,-14062549362.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.069.155.567.030,11.919.927.445.762,13.989.083.012.792,2069155567030.0,11919927445762.0,13989083012792.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,604.971.612.227,9.574.298.394.840,10.179.270.007.067,604971612227.0,9574298394840.0,10179270007067.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,62.209.422.501,1.236.920.640.092,1.299.130.062.593,62209422501.0,1236920640092.0,1299130062593.0
Điều chỉnh sang tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh sang tài sản cố định hữu hình,Điều chỉnh sang tài sản cố định hữu hình,(1.646.635.022),(3.872.793.239),(5.519.428.261),-1646635022.0,-3872793239.0,-5519428261.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(4.058.250),4.058.250,-,-4058250.0,4058250.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,665.530.341.456,10.807.350.299.943,11.472.880.641.399,665530341456.0,10807350299943.0,11472880641399.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.456.898.613.090,1.128.064.894.510,2.584.963.507.600,1456898613090.0,1128064894510.0,2584963507600.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.403.625.225.574,1.112.577.145.819,2.516.202.371.393,1403625225574.0,1112577145819.0,2516202371393.0
