row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mặt nước,"Chi phí đèn bù, chuẩn bị mặt bằng",Giá trị thương hiệu và bản quyền,Phàn mềm máy tính,Giấy phép và giấy nhượng quyền,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mặt nước,"numeric__Chi phí đèn bù, chuẩn bị mặt bằng",numeric__Giá trị thương hiệu và bản quyền,numeric__Phàn mềm máy tính,numeric__Giấy phép và giấy nhượng quyền,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,186.628.455.708,384.184.174.786,93.259.704.164,5.071.016.121,93.967.331.718,42.496.413.266,8.739.197.834,814.346.293.597,186628455708.0,384184174786.0,93259704164.0,5071016121.0,93967331718.0,42496413266.0,8739197834.0,814346293597.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,-,-,18.946.199.778,-,-,18.946.199.778,,,,,18946199778.0,,,18946199778.0
Giảm do thoái vốn tại công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,-,-,-,-,(79.100.000),-,-,(79.100.000),,,,,-79100000.0,,,-79100000.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,-,-,(376.327.560),-,-,(376.327.560),,,,,-376327560.0,,,-376327560.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,186.628.455.708,384.184.174.786,93.259.704.164,5.071.016.121,112.458.103.936,42.496.413.266,8.739.197.834,832.837.065.815,186628455708.0,384184174786.0,93259704164.0,5071016121.0,112458103936.0,42496413266.0,8739197834.0,832837065815.0
GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,GIÁ TRI HAO,,,,,,,,
MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,MÔN LỦY KẾ,,,,,,,,
Số dư đầu năm,MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,32.252.007.368,62.041.430.869,22.743.253.459,1.324.402.669,58.787.017.934,8.112.454.155,1.974.148.090,187.234.714.544,32252007368.0,62041430869.0,22743253459.0,1324402669.0,58787017934.0,8112454155.0,1974148090.0,187234714544.0
Khấu hao trong năm,MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,6.470.202.441,10.812.935.095,2.186.773.796,460.001.750,16.625.372.279,2.291.501.185,528.315.129,39.375.101.675,6470202441.0,10812935095.0,2186773796.0,460001750.0,16625372279.0,2291501185.0,528315129.0,39375101675.0
Giảm do thoái vốn tại công ty con,MÔN LỦY KẾ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,-,-,-,-,(79.100.000),-,-,(79.100.000),,,,,-79100000.0,,,-79100000.0
Giảm trong năm,MÔN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,-,-,(376.327.560),-,-,(376.327.560),,,,,-376327560.0,,,-376327560.0
Số dư cuối năm,MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,38.722.209.809,72.854.365.964,24.930.027.255,1.784.404.419,74.956.962.653,10.403.955.340,2.502.463.219,226.154.388.659,38722209809.0,72854365964.0,24930027255.0,1784404419.0,74956962653.0,10403955340.0,2502463219.0,226154388659.0
GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,,,,,,,,
Tại ngày đầu năm,GIÁ TRI CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,154.376.448.340,322.142.743.917,70.516.450.705,3.746.613.452,35.180.313.784,34.383.959.111,6.765.049.744,627.111.579.053,154376448340.0,322142743917.0,70516450705.0,3746613452.0,35180313784.0,34383959111.0,6765049744.0,627111579053.0
Tại ngày cuối năm,GIÁ TRI CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,147.906.245.899,311.329.808.822,68.329.676.909,3.286.611.702,37.501.141.283,32.092.457.926,6.236.734.615,606.682.677.156,147906245899.0,311329808822.0,68329676909.0,3286611702.0,37501141283.0,32092457926.0,6236734615.0,606682677156.0
