row_label_raw,row_label_full,col_0,Số đầu năm,Chuyển từ công ty con,Góp vốn/Mua trong năm,"Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",Phân phối Quỹ và điều chỉnh khác,Cổ tức được chia trong năm,Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,Số cuối năm,numeric__Số đầu năm,numeric__Chuyển từ công ty con,numeric__Góp vốn/Mua trong năm,"numeric__Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",numeric__Phân phối Quỹ và điều chỉnh khác,numeric__Cổ tức được chia trong năm,numeric__Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,1.175.266.440.717,-,-,66.596.872.851,(9.483.211.989),(29.936.266.000),-,1.202.443.835.579,1175266440717.0,,,66596872851.0,-9483211989.0,-29936266000.0,,1202443835579.0
Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,421.740.603.748,-,218.687.000.000,(31.183.566.230),-,-,-,609.244.037.518,421740603748.0,,218687000000.0,-31183566230.0,,,,609244037518.0
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,267.996.760.540,-,-,80.108.816.487,219.716.687,(87.780.000.000),-,260.545.293.714,267996760540.0,,,80108816487.0,219716687.0,-87780000000.0,,260545293714.0
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,219.784.979.674,-,-,220.048.887,-,-,-,220.005.028.561,219784979674.0,,,220048887.0,,,,220005028561.0
Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,210.413.979.171,-,-,(54.360.766.131),-,-,-,156.053.213.040,210413979171.0,,,-54360766131.0,,,,156053213040.0
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,137.847.653.445,-,-,2.482.331.801,-,-,1.502.521.383,141.832.506.629,137847653445.0,,,2482331801.0,,,1502521383.0,141832506629.0
Công ty Cổ phần Nước sạch Tây Hà Nội,Công ty Cổ phần Nước sạch Tây Hà Nội,Công ty Cổ phần Nước sạch Tây Hà Nội,-,-,95.695.733.333,-,-,-,-,95.695.733.333,,,95695733333.0,,,,,95695733333.0
Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,-,82.399.479.940,-,5.173.438.006,-,-,-,87.572.917.946,,82399479940.0,,5173438006.0,,,,87572917946.0
Công ty Cổ phần Viglacera Đông Trêu,Công ty Cổ phần Viglacera Đông Trêu,Công ty Cổ phần Viglacera Đông Trêu,43.242.250.930,-,-,(14.782.200.533),-,-,-,28.460.050.397,43242250930.0,,,-14782200533.0,,,,28460050397.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,21.840.825.848,-,-,153.122.251,-,-,-,21.993.948.099,21840825848.0,,,153122251.0,,,,21993948099.0
Công ty TNHH Chế tạo diện cơ HEM,Công ty TNHH Chế tạo diện cơ HEM,Công ty TNHH Chế tạo diện cơ HEM,-,19.305.424.532,-,167.039.881,-,-,-,19.472.464.413,,19305424532.0,,167039881.0,,,,19472464413.0
Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,13.927.173.737,-,-,(5.679.326.372),-,-,-,8.247.847.365,13927173737.0,,,-5679326372.0,,,,8247847365.0
Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,4.348.395.125,-,-,(1.259.480.437),-,-,-,3.088.914.688,4348395125.0,,,-1259480437.0,,,,3088914688.0
