row_label_raw,row_label_full,Bên cho vay,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,2.446.438.018.421,2.543.456.650.972,2446438018421.0,2543456650972.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,1.574.755.401.675,1.577.647.910.981,1574755401675.0,1577647910981.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,1.073.596.901.239,1.133.480.318.028,1073596901239.0,1133480318028.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),519.659.496.831,320.355.661.312,519659496831.0,320355661312.0
Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,341.662.762.337,-,341662762337.0,
Ngân Hàng TMCP Quân đội,Ngân Hàng TMCP Quân đội,Ngân Hàng TMCP Quân đội,339.590.773.099,402.318.440.621,339590773099.0,402318440621.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,206.549.145.715,50.000.000.000,206549145715.0,50000000000.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,123.897.941.481,32.322.335.062,123897941481.0,32322335062.0
Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,98.000.000.000,55.643.532.390,98000000000.0,55643532390.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,87.755.497.972,120.582.568.941,87755497972.0,120582568941.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,86.030.934.882,116.659.681.205,86030934882.0,116659681205.0
Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,62.388.528.000,168.181.803.970,62388528000.0,168181803970.0
Ngân hàng Malayan Banking Berhad,Ngân hàng Malayan Banking Berhad,Ngân hàng Malayan Banking Berhad,30.653.971.749,19.384.533.808,30653971749.0,19384533808.0
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),27.297.843.573,147.226.960.177,27297843573.0,147226960177.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,20.000.000.000,-,20000000000.0,
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,1.181.924.446,1.531.924.446,1181924446.0,1531924446.0
Ngân hàng Đại chúng TNHH KASIKORNBANK,Ngân hàng Đại chúng TNHH KASIKORNBANK,Ngân hàng Đại chúng TNHH KASIKORNBANK,-,135.756.035.441,,135756035441.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,49.309.212.488,,49309212488.0
Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,Ngân hàng Sinopac Việt Nam,-,23.959.795.008,,23959795008.0
Ngân hàng TNHH CTBC,Ngân hàng TNHH CTBC,Ngân hàng TNHH CTBC,-,9.414.165.565,,9414165565.0
,,,7.039.459.141.420,6.907.231.530.415,7039459141420.0,6907231530415.0
